source_label_class_name,source_dataset_source,target_label_class_name,target_dataset_source,kingdom,phylum,order,family,genus,species,round,corymbose,brain,oval,massive,fleshy,encrusting,bushy,foliose,columnar,solitary,cup_coral,submassive,external_polyps,branching,plating,tubular,meandroid,lobed_brain,arborescent,digitate,free_living,phaceloid,tabular,bleached,algae,background,anthropogenic,trash,transect,transect_line,macroalgae,dark,class,human,sand,hard_substrate,live
acropora alive,coralscapes,acropora alive,coralscapes_v2,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,not_given,FALSE,FALSE,FALSE,not_given,not_given,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE,TRUE
acropora alive,coralscapes_v2,,,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,not_given,FALSE,FALSE,FALSE,not_given,not_given,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE,TRUE
acropora bleached,coralscapes_v2,,,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,not_given,FALSE,FALSE,FALSE,not_given,not_given,FALSE,FALSE,not_given,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE,TRUE
acropora dead,coralscapes_v2,,,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,not_given,FALSE,FALSE,FALSE,not_given,not_given,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,not_given,FALSE
algae covered branching coral,coralscapes_v2,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not_given,not_given,not_given,not_given,FALSE,not_given,FALSE,not_given,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,TRUE,not_given,FALSE,FALSE,not_given,not_given,not_given,not_given,FALSE,not_given,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,hexacorallia,FALSE,FALSE,not_given,FALSE
algae covered lobophylliidae,coralscapes_v2,,,animalia,cnidaria,scleractinia,lobophylliidae,not_given,not_given,FALSE,FALSE,not_given,FALSE,TRUE,not_given,FALSE,FALSE,FALSE,not_given,FALSE,FALSE,TRUE,FALSE,FALSE,not_given,FALSE,TRUE,TRUE,FALSE,FALSE,not_given,not_given,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,hexacorallia,FALSE,FALSE,not_given,FALSE
algae covered massive coral,coralscapes_v2,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,FALSE,FALSE,not_given,FALSE,TRUE,not_given,FALSE,not_given,not_given,not_given,FALSE,FALSE,TRUE,FALSE,FALSE,not_given,FALSE,not_given,not_given,FALSE,FALSE,not_given,FALSE,not_given,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,hexacorallia,FALSE,FALSE,not_given,FALSE
algae covered brain coral,coralscapes_v2,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,FALSE,FALSE,TRUE,FALSE,TRUE,not_given,FALSE,FALSE,FALSE,not_given,FALSE,FALSE,TRUE,FALSE,FALSE,not_given,FALSE,not_given,not_given,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,hexacorallia,FALSE,FALSE,not_given,FALSE
algae covered pocillopora,coralscapes_v2,,,animalia,cnidaria,scleractinia,pocilloporidae,pocillopora,not_given,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,not_given,not_given,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,hexacorallia,FALSE,FALSE,not_given,FALSE
algae covered porites,coralscapes_v2,,,animalia,cnidaria,scleractinia,poritidae,porites,not_given,FALSE,FALSE,not_given,FALSE,TRUE,FALSE,not_given,not_given,not_given,not_given,FALSE,FALSE,not_given,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,hexacorallia,FALSE,FALSE,not_given,FALSE
algae covered substrate,coralscapes,algae covered substrate,coralscapes_v2,none,none,none,none,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,none,FALSE,FALSE,FALSE,FALSE
algae covered substrate,coralscapes_v2,,,none,none,none,none,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,none,FALSE,FALSE,FALSE,FALSE
algae covered table acropora,coralscapes_v2,,,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,not_given,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_given,FALSE,hexacorallia,FALSE,FALSE,not_given,FALSE
anemone,coralscapes_v2,,,animalia,cnidaria,actiniaria,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE,TRUE
anemone,coralscapes,anemone,coralscapes_v2,animalia,cnidaria,actiniaria,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hexacorallia,FALSE,FALSE,FALSE,TRUE
