CoralNetID,CoralNetName,Default short code,Functional group,Public sources using,Public annotation count,NewCoralNetID,Top100,MERMAID_BA,BA_AssignNotes,MERMAID_GF,ba_gf,MERMAID_Count,ToKeep,ToKeepNotes,MermaidBaID,MermaidParent,MermaidGfID,HighestLevelBa,HighestLevelUUID,precision_Over9000model,recall_Over9000model,f1-score_Over9000model,support_Over9000model,Over9000Labels,precision_Top100model,recall_Top100model,f1-score_Top100model,support_Top100model,Top100modelLabels,precision_TLCmodel,recall_TLCmodel,f1-score_TLCmodel,support_TLCmodel,TLCmodelLabels,CoralFocusLabel,precision_CoralFocusModel,recall_CoralFocusModel,f1-score_CoralFocusModel,support_CoralFocusModel,CoralFocus2Label,CoralFocus3Label,CoralFocus3_BaID,CoralFocus3_GfID,
82,Turf algae,Turf,Algae,321,5496896,82,1,Turf algae,NA,NA,Turf algae,190513,1,NA,20090bf4-868e-431b-974c-ab9be5bbdb5f,Turf algae,NA,Turf algae,20090bf4-868e-431b-974c-ab9be5bbdb5f,0.7660594439,0.5465116279,0.6379241517,1462,1,0.6054461182,0.4205231388,0.4963191641,2485,1,0.6811594203,0.3548062406,0.4665784249,9935,1,Turf algae,0.6056771546,0.3569485035,0.4491788726,9923,Turf algae,Turf algae,20090bf4-868e-431b-974c-ab9be5bbdb5f,NA,
84,Sand,Sand,Soft Substrate,418,1882701,84,1,Sand,NA,NA,Sand,148574,1,NA,b76bca12-884b-4404-bb9f-97d505b0fe58,Sand,NA,Sand,b76bca12-884b-4404-bb9f-97d505b0fe58,0.7480176211,0.508687837,0.6055634807,1669,1,0.5662650602,0.2977375566,0.3902728351,1105,1,0.779732812,0.7157527418,0.7463741748,10030,1,Sand,0.7495512617,0.7062276164,0.7272447882,10052,Sand,Sand,b76bca12-884b-4404-bb9f-97d505b0fe58,NA,
1348,CRED-Turf growing on hard substrate,*TURFH,Hard Substrate,18,1216402,82,1,Turf algae,NA,NA,Turf algae,190513,1,NA,20090bf4-868e-431b-974c-ab9be5bbdb5f,Turf algae,NA,Turf algae,20090bf4-868e-431b-974c-ab9be5bbdb5f,0.7660594439,0.5465116279,0.6379241517,1462,1,0.6054461182,0.4205231388,0.4963191641,2485,1,0.6811594203,0.3548062406,0.4665784249,9935,1,Turf algae,0.6056771546,0.3569485035,0.4491788726,9923,Turf algae,Turf algae,20090bf4-868e-431b-974c-ab9be5bbdb5f,NA,
101,CCA (crustose coralline algae),CCA,Algae,333,1088719,101,1,Crustose coralline algae,NA,NA,Crustose coralline algae,36612,1,NA,f4df7abd-3d51-42fb-8cab-5102b95fad8e,Crustose coralline algae,NA,Crustose coralline algae,f4df7abd-3d51-42fb-8cab-5102b95fad8e,0.5609863496,0.4266577361,0.4846870839,2986,1,0.8562166285,0.8003565062,0.8273447577,2805,1,0.8890500101,0.9297235718,0.9089319959,132548,1,Crustose coralline algae,0.8444729896,0.9044455027,0.8734309814,132291,Crustose coralline algae,Crustose coralline algae,f4df7abd-3d51-42fb-8cab-5102b95fad8e,NA,
81,Macroalgae,MAL,Algae,183,596756,81,1,Macroalgae,NA,NA,Macroalgae,47290,1,NA,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,NA,Macroalgae,09226989-50e7-4c40-bd36-5bcef32ee7a1,0.92,0.7823129252,0.8455882353,1323,1,0.7158273381,0.6115550092,0.6595956248,1627,1,0.8775009843,0.8945995256,0.8859677653,109620,1,Macroalgae,0.8285175077,0.885396328,0.856013113,124455,Macroalgae,Macroalgae,09226989-50e7-4c40-bd36-5bcef32ee7a1,NA,
4114,Substrate: Consolidated (hard),MGSC,Hard Substrate,11,382199,96,1,Bare substrate,NA,NA,Bare substrate,377,1,NA,d9086647-3a82-4634-97bc-6e10347af39b,Bare substrate,NA,Bare substrate,d9086647-3a82-4634-97bc-6e10347af39b,0.8265734266,0.5507921715,0.6610738255,1073,1,0.7761732852,0.6670113754,0.7174638487,967,1,0.7518735363,0.6431934288,0.6933002213,9983,1,Bare substrate,0.6439296939,0.5600323952,0.5990578808,9878,Bare substrate,Bare substrate,d9086647-3a82-4634-97bc-6e10347af39b,NA,
74,Porites,Porites,Hard coral,124,367911,74,1,Porites,NA,NA,Porites,1903,1,NA,2b55697f-f26e-433e-9070-f1fe9748bf7b,Poritidae,NA,Hard coral,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,0.6303211352,0.5072115385,0.5621045621,1664,1,0.7706708268,0.8199170124,0.7945315641,1205,1,NA,NA,NA,NA,1,Porites,0.8925713445,0.912230324,0.9022937656,66515,Porites,Remove,NA,NA,
403,Halimeda,Halimeda,Algae,108,335282,403,1,Halimeda,NA,NA,Halimeda,23373,1,NA,51558178-d2da-44ed-905b-db6976f6aa76,Macroalgae,NA,Macroalgae,09226989-50e7-4c40-bd36-5bcef32ee7a1,0.8527783927,0.8428884026,0.847804556,4570,1,0.8243325243,0.7960738353,0.8099567745,3413,1,NA,NA,NA,NA,1,Macroalgae,0.8285175077,0.885396328,0.856013113,124455,Macroalgae,Macroalgae,09226989-50e7-4c40-bd36-5bcef32ee7a1,NA,
1340,CRED-CCA growing on hard substrate,*CCAH,Hard Substrate,18,288354,101,1,Crustose coralline algae,NA,NA,Crustose coralline algae,36612,1,NA,f4df7abd-3d51-42fb-8cab-5102b95fad8e,Crustose coralline algae,NA,Crustose coralline algae,f4df7abd-3d51-42fb-8cab-5102b95fad8e,0.5609863496,0.4266577361,0.4846870839,2986,1,0.8562166285,0.8003565062,0.8273447577,2805,1,0.8890500101,0.9297235718,0.9089319959,132548,1,Crustose coralline algae,0.8444729896,0.9044455027,0.8734309814,132291,Crustose coralline algae,Crustose coralline algae,f4df7abd-3d51-42fb-8cab-5102b95fad8e,NA,
89,Porites lobata,PorLob,Hard coral,35,264183,89,1,Porites lobata,NA,NA,Porites lobata,NA,1,NA,462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites,NA,Hard coral,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,0.582303188,0.3607416364,0.4454952713,2481,1,0.6935412027,0.5101572739,0.587879932,3052,1,NA,NA,NA,NA,1,Porites,0.8925713445,0.912230324,0.9022937656,66515,Porites,Remove,NA,NA,
94,Seagrass,Seagrass,Seagrass,71,257609,94,1,Seagrass,NA,NA,Seagrass,1804,1,NA,5f1f7956-bc21-4bfd-a409-9740e614b2ac,Seagrass,NA,Seagrass,5f1f7956-bc21-4bfd-a409-9740e614b2ac,0.8473917869,0.838090011,0.8427152318,1822,1,0.8879598662,0.8446447508,0.8657608696,1886,1,0.9504950495,0.9309090909,0.9406001225,7425,1,Seagrass,0.9283675411,0.9252235167,0.9267928625,7382,Seagrass,Seagrass,5f1f7956-bc21-4bfd-a409-9740e614b2ac,NA,
2543,Cyanobacteria,CYANOB,Other,95,247654,2543,1,Cyanobacteria,NA,NA,Cyanobacteria,1237,1,NA,3218e7ea-8827-4262-96a1-104e5ec50ffc,Cyanobacteria,NA,Cyanobacteria,3218e7ea-8827-4262-96a1-104e5ec50ffc,0.9028811296,0.8521519899,0.8767833982,5553,1,0.7298486933,0.6811296534,0.7046480744,3895,1,0.8055210918,0.7891218475,0.797237145,13164,1,Cyanobacteria,0.7506522255,0.7076315397,0.7285073081,13418,Cyanobacteria,Cyanobacteria,3218e7ea-8827-4262-96a1-104e5ec50ffc,NA,
503,Dictyota,Dictyota,Algae,130,206655,503,1,Dictyota,NA,NA,Dictyota,7243,1,NA,987019bd-142e-4333-993a-a820030360a9,Macroalgae,NA,Macroalgae,09226989-50e7-4c40-bd36-5bcef32ee7a1,0.6078157711,0.5286798179,0.5654926148,3295,1,0.4477491961,0.3873435327,0.4153616704,1438,1,NA,NA,NA,NA,1,Macroalgae,0.8285175077,0.885396328,0.856013113,124455,Macroalgae,Macroalgae,09226989-50e7-4c40-bd36-5bcef32ee7a1,NA,
532,Peyssonnelia,Peysson,Algae,65,202462,532,1,Peyssonnelid algae,NA,NA,Peyssonnelid algae,1258,1,NA,7d84ea57-8116-4eba-a39e-5f086b5370db,Crustose coralline algae,NA,Crustose coralline algae,f4df7abd-3d51-42fb-8cab-5102b95fad8e,0.8919331345,0.8748214164,0.8832944086,14699,1,0.6876811594,0.6558396683,0.6713830916,1447,1,NA,NA,NA,NA,1,Crustose coralline algae,0.8444729896,0.9044455027,0.8734309814,132291,Crustose coralline algae,Crustose coralline algae,f4df7abd-3d51-42fb-8cab-5102b95fad8e,NA,
105,Dead coral,D_coral,Hard Substrate,138,200316,105,1,Dead coral,NA,NA,Dead coral,28324,1,NA,abde283f-5dd4-4a67-bc0b-e7403ad9c517,Bare substrate,NA,Bare substrate,d9086647-3a82-4634-97bc-6e10347af39b,0.874025195,0.7737652682,0.8208450704,1883,1,0.8245614035,0.6911764706,0.752,748,1,NA,NA,NA,NA,1,Bare substrate,0.6439296939,0.5600323952,0.5990578808,9878,Bare substrate,Bare substrate,d9086647-3a82-4634-97bc-6e10347af39b,NA,
59,Acropora,Acropora,Hard coral,105,183326,59,1,Acropora,NA,NA,Acropora,5426,1,NA,050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acroporidae,NA,Hard coral,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,0.7841987743,0.7140644737,0.7474901167,115582,1,0.8373683959,0.9079016674,0.8712097673,115811,1,NA,NA,NA,NA,1,Acropora,0.8934132517,0.8873430827,0.8903678213,15454,Acropora,Acropora,050c0689-0b01-4a6c-afbf-a5d3ca39c310,NA,
