Latitude,Longitude,Depth,Date,Source ID
,,7-8 Feet,2018-05-16,s1073
,,,2018-05-16,s1076
,,,2013-07-24,s109
,,,2015-09-03,s1264
,,,2015-09-03,s1265
,,,2015-09-03,s1266
,,,2014-09-10,s1268
,,,2014-09-10,s1269
,,,2014-09-10,s1270
,,,2014-01-11,s1271
,,,2014-01-11,s1272
,,,2014-01-11,s1273
,,,2012-12-08,s1274
,,,2012-12-08,s1276
,,,2012-12-08,s1277
0.18842,-176.47997,,2018-06-15,s1288
,,9,2018-10-24,s1304
,,,2019-01-15,s1353
,,,2019-01-14,s1357
,,,2019-01-16,s1358
,,,2020-03-25,s1360
,,,2019-01-29,s1360
,,,2019-02-04,s1360
,,5.0,2017-09-25,s1388
,,6.0,2017-09-29,s1388
,,,2019-04-03,s1432
,,4,2019-04-07,s1440
,,,2019-06-23,s1519
8.91,119.91,3m,2014-03-19,s155
,,,2019-05-23,s1578
23.807454,-166.07846,,2024-08-01,s1579
,,,2019-02-12,s1580
,,,2019-09-30,s1642
,,,2019-09-25,s1642
,,,2020-01-07,s1645
,,,2019-11-04,s1695
,,,2019-11-15,s1718
,,,2009-01-01,s172
,,,2019-11-20,s1724
,,,2019-11-20,s1725
,,,2009-01-01,s173
,,,2009-01-01,s174
,,,2019-12-10,s1745
,,,2019-11-18,s1776
,,,2020-02-18,s1781
,,,2020-02-18,s1783
,,2m,2019-10-29,s1821
,,,2019-03-27,s1835
-42.78511,-64.95264,,2018-11-05,s1895
-42.624056,-64.260222,medium,2019-03-11,s1933
29.55766,34.95192,9.0,2020-04-26,s1944
,,2,2018-06-01,s1968
,,,2020-06-01,s1970
,,,2020-06-02,s1970
,,,2020-06-03,s1970
,,,2020-06-04,s1970
,,,2020-06-05,s1970
-42.78511,-64.95264,,2018-11-05,s1972
,,3m,2018-08-10,s1981
,,TANK,2024-02-09,s1982
,,,2024-01-10,s1982
,,TANK,2023-06-11,s1982
,,,2018-10-14,s1983
22.224676,-159.560753,1.8m,2020-05-14,s1986
-42.78511,-64.95264,,2018-11-05,s1988
,,,2020-06-29,s1990
-42.77986,-65.00171,,2018-11-05,s2048
,,,2020-08-08,s2052
,,2,2020-05-15,s2055
42.507496,-70.84332,Intertidal,2018-07-17,s2064
42.507496,-70.84332,INTERTIDAL,2018-07-17,s2064
,,,2020-06-17,s2070
,,3M,2023-03-21,s2083
13.478652248159,144.724088022485,0.25,2020-06-23,s2112
13.4784599673002,144.724145019426,0.25,2020-06-23,s2112
,,,2020-12-20,s2130
,,,2020-09-20,s2131
,,,2019-09-29,s2162
,,20m,,s2180
21.27642,-157.74504,,2020-11-09,s2200
,,,2020-12-04,s2208
21.27653,-157.74504,,2020-11-09,s2221
,,,2020-11-24,s2236
,,,2020-11-22,s2239
,,,2020-06-10,s2262
-42.78511,-64.95264,,2018-11-05,s2268
,,,2012-10-07,s23
,,,2021-01-12,s2311
,,,2020-10-27,s2315
,,5m,2021-08-24,s2324
-37.05746806,149.9455136,18.9,2019-02-27,s2337
-37.05744267,149.9455241,18.96,2019-02-27,s2337
-37.0574119,149.9455457,18.73,2019-02-27,s2337
-37.0573995,149.9455963,18.67,2019-02-27,s2337
-37.05737888,149.945618,19.08,2019-02-27,s2337
,,,2019-11-18,s2371
34.906037,29.493607,10,2020-12-27,s2374
34.906037,29.493607,10,2021-03-15,s2374
,,1m,2019-09-27,s2480
-42.78511,-64.95264,,2018-11-05,s2562
-42.78511,-64.95264,,2018-11-05,s2565
,,25,2014-11-05,s258
,,10,2019-10-31,s2615
,,2,2021-10-31,s2616
-33.9252,151.262118,,2021-06-03,s2655
-33.9252,151.262118,,2021-04-23,s2655
48.5378,-123.00055,2.5,2021-07-01,s2667
48.53807,-123.0005,4.25,2021-07-01,s2667
48.53837,-123.00012,7.0,2021-07-01,s2667
48.53844,-122.99999,7.0,2021-07-01,s2667
48.5386,-122.99969,9.25,2021-07-01,s2667
,,10,2021-06-14,s2694
,,10m,2021-08-02,s2707
21.01538,-156.63905,03m,2021-07-07,s2715
20.92436,-156.426,04m,2021-06-23,s2716
1.3623,173.0167,10m,2021-08-24,s2733
,,,2021-05-27,s2744
1.3623,173.0167,5m,2021-09-26,s2747
-16.545283,145.8612,2m,2021-02-22,s2757
,,,2021-12-16,s2759
,,,2020-07-21,s2765
,,,2020-07-22,s2765
,,,2020-07-23,s2765
,,,2021-08-16,s2770
1.32971,172.9781,5m,2021-09-26,s2779
1.3623,173.0617,10m,2021-09-26,s2781
1.3623,173.0617,0.5m,2021-09-26,s2782
1.3623,173.0617,0m,2021-09-26,s2782
1.3623,173.0617,10m,2021-09-26,s2782
1.3623,173.0617,12m,2021-09-26,s2782
1.3623,173.0617,15m,2021-09-26,s2782
,,,2024-08-20,s2855
,,3.0,2023-03-20,s2858
,,12.0,2022-02-13,s2858
,,,2022-02-10,s2858
,,12.0,2022-02-08,s2858
20.95768,-156.688,03m,2021-06-30,s2859
20.93663,-156.693,03m,2021-07-28,s2860
20.80587,-156.612,03m,2021-07-14,s2861
,,03m,2021-06-16,s2862
20.63148333,-156.4965833,08m,2021-07-29,s2863
20.6174833,-156.43735,02m,2021-07-27,s2864
,,03m,2021-07-21,s2865
21.03747,-156.897,03m,2021-09-07,s2866
21.08705,-157.108,03m,2021-09-09,s2867
21.06817,-157.0,03m,2021-09-08,s2868
,,,2023-08-16,s2873
20.85531,-156.668,03m,2021-07-29,s2874
,,4.0,2021-11-29,s2882
-48.1150066666667,-65.925565,,2024-10-27,s2897
-48.1150133333333,-65.9255916666667,,2024-10-27,s2897
-48.115015,-65.9255933333333,,2024-10-27,s2897
-44.919825,-65.5350583333333,,2024-10-28,s2897
-44.9198266666667,-65.5350566666667,,2024-10-28,s2897
-14.52351,145.58198,8,2010-10-29,s290
-14.52351,145.58198,9,2010-10-29,s290
-14.52351,145.58198,10,2010-10-29,s290
-14.52351,145.58198,11,2010-10-29,s290
-14.52351,145.58198,12,2010-10-29,s290
72.436628,-78.549771,9,2019-09-04,s2922
72.436628,-78.549771,14,2019-09-04,s2922
0.18839,-176.47997,,2015-02-11,s295
29.5435792,34.9698321,10.5,2021-10-24,s2959
29.5435792,34.9698321,11.3,2021-10-24,s2959
29.5435039,34.9697918,13.9,2021-10-24,s2959
29.5435039,34.9697918,14,2021-10-24,s2959
,,,2022-04-22,s2960
16P 669483,1756059,,2021-09-08,s2969
16P 669483,1756059,,2021-09-09,s2969
,,3m,1976-09-15,s2971
,,,2014-02-27,s299
,,,2023-02-22,s2991
,,,2022-02-24,s3004
,,,2022-02-25,s3007
,,,2022-02-26,s3008
,,,2022-02-26,s3010
,,,2022-02-26,s3011
,,,2022-02-26,s3012
,,12.0,2022-02-26,s3013
,,,2022-02-26,s3013
9.621635,-84.645664,0,2014-10-11,s3032
,,,2012-12-05,s3046
,,,2014-08-17,s3063
,,,2017-08-28,s3064
,,10.0,2019-05-01,s307
,,,2021-12-06,s3156
,,,2022-03-21,s3172
,,,2021-01-11,s3197
,,3,,s3241
,,,2022-05-18,s3263
,,,2022-03-24,s3290
,,,2022-05-19,s3290
,,,2023-06-08,s3290
,,,2022-06-14,s3290
,,,2022-06-30,s3290
31.0,71.0,4m,2022-06-05,s3295
31.0,71.0,4m,2022-04-04,s3295
,,,2022-03-26,s3300
,,10.7,2022-06-06,s3327
,,,2018-12-05,s3346
,,,2019-10-10,s3349
,,,2022-05-29,s3350
,,,2022-06-20,s3357
18.807669,145.676437,,2025-06-22,s3371
19.73378,-155.01799,03m,2022-06-13,s3373
,,03m,2022-06-08,s3374
,,5m,2022-06-09,s3375
19.99096,-155.23921,03m,2022-07-18,s3376
,,3m,2022-09-15,s3377
,,3m,2022-06-09,s3378
,,3-7 m,2024-03-30,s3379
,,,2022-07-26,s3383
,,,2017-08-30,s3386
,,,2022-07-21,s3406
,,,2022-08-23,s3410
,,,2015-05-13,s350
,,,2022-08-02,s3519
24.122041,-74.47327,,2015-01-02,s3520
29.548903,34.95871,,2022-08-23,s3522
29.548887,34.958687,,2022-08-23,s3522
29.548876,34.958668,,2022-08-23,s3522
29.548861,34.958656,,2022-08-23,s3522
29.548843,34.958652,,2022-08-23,s3522
,,,2022-11-02,s3560
13.38121333,144.6529756,,2022-09-12,s3577
,,10.0,2023-08-30,s3606
,,,2022-11-01,s3627
,,,2020-07-13,s3634
,,,2001-01-01,s3637
,,,2024-04-17,s3637
-34.2076,18.4623,5.0,2023-01-18,s3680
-34.2076,18.4623,5.3,2023-01-18,s3680
-34.2076,18.4623,5.5,2023-01-18,s3680
,,10,2023-03-01,s3692
