,Label ID,Num Annotations,Num Images,Source ID
0,81,911,57,s1073
1,84,4073,101,s1073
2,89,1166,35,s1073
3,105,827,66,s1073
4,124,22420,206,s1073
5,141,404,44,s1073
6,342,10,5,s1073
7,353,1,1,s1073
8,438,490,11,s1073
9,439,140,10,s1073
10,444,360,21,s1073
11,448,39,2,s1073
12,450,33,4,s1073
13,460,2,1,s1073
14,635,8691,125,s1073
15,638,1,1,s1073
16,1827,1779,176,s1073
17,1913,3239,123,s1073
18,2182,1,1,s1073
19,2184,5,2,s1073
20,2185,10,3,s1073
21,2206,72,3,s1073
22,2208,57,2,s1073
23,2214,22,3,s1073
24,2216,59,12,s1073
25,2217,187,5,s1073
26,2465,1,1,s1073
0,81,1387,108,s1076
1,84,763,9,s1076
2,89,2023,34,s1076
3,102,2,1,s1076
4,105,466,16,s1076
5,124,34373,201,s1076
6,141,9,2,s1076
7,145,25,4,s1076
8,403,62,19,s1076
9,428,3,1,s1076
10,434,330,35,s1076
11,438,406,20,s1076
12,439,5,1,s1076
13,444,477,23,s1076
14,448,122,17,s1076
15,450,205,6,s1076
16,1041,1,1,s1076
17,1827,326,25,s1076
18,1913,281,32,s1076
19,2184,253,7,s1076
20,2185,68,3,s1076
21,2193,68,2,s1076
22,2200,28,1,s1076
23,2201,3,1,s1076
24,2216,102,3,s1076
25,2217,9,1,s1076
26,2464,2,2,s1076
27,2465,1,1,s1076
0,63,13,12,s109
1,64,13,6,s109
2,66,40,12,s109
3,67,61,43,s109
4,78,1,1,s109
5,82,98650,3910,s109
6,84,27205,2181,s109
7,95,1250,186,s109
8,96,77,44,s109
9,101,10234,2265,s109
10,102,259,185,s109
11,103,23,4,s109
12,104,418,83,s109
13,105,72,54,s109
14,107,81,51,s109
15,118,3,3,s109
16,124,38,11,s109
17,131,29217,2604,s109
18,133,26,12,s109
19,138,1,1,s109
20,143,754,378,s109
21,144,12,3,s109
22,145,16,5,s109
23,179,4,3,s109
24,180,66,34,s109
25,218,32,21,s109
26,222,2508,1134,s109
27,226,36,18,s109
28,227,1,1,s109
29,239,3,3,s109
30,310,178,108,s109
31,311,66,51,s109
32,312,7,6,s109
33,322,329,170,s109
34,323,9535,966,s109
35,324,587,59,s109
36,325,7,4,s109
37,342,486,298,s109
38,344,3,2,s109
39,369,1804,68,s109
40,401,12,7,s109
41,403,95,77,s109
42,417,40,29,s109
43,418,8,8,s109
44,419,11,8,s109
45,421,2,2,s109
46,422,1,1,s109
47,423,8,6,s109
48,425,2,2,s109
49,426,10,9,s109
50,428,27,20,s109
51,429,1,1,s109
52,433,42,1,s109
53,435,5,4,s109
54,438,1297,593,s109
55,439,3,1,s109
56,440,437,174,s109
57,441,1,1,s109
58,442,35,25,s109
59,443,21,11,s109
60,444,7772,995,s109
61,445,1,1,s109
62,447,834,33,s109
63,448,17,12,s109
64,449,148,19,s109
65,450,2800,510,s109
66,451,7,3,s109
67,452,15,6,s109
68,454,2,1,s109
69,456,3,3,s109
70,555,29,11,s109
71,558,64,12,s109
72,559,130,19,s109
73,560,222,32,s109
74,561,234,20,s109
75,562,1,1,s109
76,563,31,6,s109
77,564,16,4,s109
0,80,2,1,s1162
1,105,2,1,s1162
2,204,10,3,s1162
3,626,11,4,s1162
0,80,1,1,s1184
1,81,26,8,s1184
2,105,6,4,s1184
3,204,11,5,s1184
4,461,4,3,s1184
5,1457,1,1,s1184
6,1913,1,1,s1184
0,81,6,3,s1212
1,84,3,3,s1212
2,105,4,3,s1212
3,461,2,1,s1212
4,626,6,3,s1212
5,1913,5,5,s1212
6,3186,3,3,s1212
7,3283,1,1,s1212
0,80,39,9,s1264
1,82,61,8,s1264
2,101,27,4,s1264
3,139,2,2,s1264
4,1647,4,4,s1264
5,3297,191,10,s1264
6,3298,31,9,s1264
7,3302,38,8,s1264
8,3458,7,5,s1264
0,80,23,9,s1265
1,82,15,4,s1265
2,101,23,7,s1265
3,139,3,3,s1265
4,1444,22,6,s1265
5,1647,52,10,s1265
6,2546,24,9,s1265
7,3297,173,10,s1265
8,3298,14,7,s1265
9,3302,30,8,s1265
10,3458,21,8,s1265
0,80,28,10,s1266
1,82,104,10,s1266
2,460,1,1,s1266
3,1647,27,7,s1266
4,2546,1,1,s1266
5,3297,212,10,s1266
6,3298,6,4,s1266
7,3302,3,3,s1266
8,3458,18,6,s1266
0,80,3,3,s1268
1,82,53,8,s1268
2,101,1,1,s1268
3,139,2,1,s1268
4,1444,2,2,s1268
5,1647,22,8,s1268
6,2546,71,8,s1268
7,3297,33,7,s1268
8,3298,120,10,s1268
9,3302,76,10,s1268
10,3458,17,6,s1268
0,80,3,3,s1269
1,82,124,10,s1269
2,101,23,4,s1269
3,139,10,4,s1269
4,1647,10,5,s1269
5,2546,1,1,s1269
6,3297,46,10,s1269
7,3298,130,9,s1269
8,3302,34,10,s1269
9,3458,19,8,s1269
0,82,202,10,s1270
1,101,3,1,s1270
2,139,2,1,s1270
3,460,1,1,s1270
4,1444,7,4,s1270
5,1647,5,5,s1270
6,2546,4,2,s1270
7,3297,24,6,s1270
8,3298,81,7,s1270
9,3302,61,9,s1270
10,3458,10,5,s1270
0,82,56,9,s1271
1,139,42,9,s1271
2,342,2,1,s1271
3,1647,29,9,s1271
4,2232,5,4,s1271
5,2546,1,1,s1271
6,3297,30,6,s1271
7,3298,107,10,s1271
8,3302,61,10,s1271
9,3458,67,10,s1271
0,82,15,3,s1272
1,139,4,2,s1272
2,1444,25,7,s1272
3,1647,26,8,s1272
4,2232,1,1,s1272
5,3297,63,6,s1272
6,3298,97,10,s1272
7,3302,144,10,s1272
8,3458,25,7,s1272
0,82,27,5,s1273
1,1444,25,7,s1273
2,1647,20,5,s1273
3,2232,2,1,s1273
4,3297,65,8,s1273
5,3298,90,10,s1273
6,3302,122,10,s1273
7,3458,49,9,s1273
0,80,37,5,s1274
1,82,104,10,s1274
2,101,9,5,s1274
3,139,3,3,s1274
4,1444,16,5,s1274
5,1647,43,10,s1274
6,2232,3,3,s1274
7,2546,1,1,s1274
8,3297,11,4,s1274
9,3298,72,10,s1274
10,3302,13,7,s1274
11,3458,88,10,s1274
0,80,54,7,s1276
1,82,10,4,s1276
2,460,1,1,s1276
3,1444,111,10,s1276
4,1647,16,4,s1276
5,2546,24,6,s1276
6,3297,2,2,s1276
7,3298,70,10,s1276
8,3302,18,7,s1276
9,3458,94,10,s1276
0,80,52,8,s1277
1,82,100,10,s1277
2,101,17,9,s1277
3,1647,18,8,s1277
4,2232,22,9,s1277
5,2546,3,3,s1277
6,3297,13,4,s1277
7,3298,61,9,s1277
8,3302,29,9,s1277
9,3458,85,10,s1277
0,1262,31,29,s1288
1,1263,96,78,s1288
2,1264,944,834,s1288
3,1265,385,115,s1288
4,1267,178,148,s1288
5,1268,73,66,s1288
6,1269,11539,4302,s1288
7,1270,4324,1228,s1288
8,1271,2728,1299,s1288
9,1272,228,137,s1288
10,1273,75,67,s1288
11,1274,320,83,s1288
12,1275,108,45,s1288
13,1276,204,110,s1288
14,1278,2460,1646,s1288
15,1279,798,615,s1288
16,1280,438,361,s1288
17,1281,451,376,s1288
18,1282,63,33,s1288
19,1283,2049,1289,s1288
20,1284,6,5,s1288
21,1285,344,230,s1288
22,1286,1508,562,s1288
23,1287,734,545,s1288
24,1288,34,32,s1288
25,1289,749,292,s1288
26,1290,801,559,s1288
27,1291,84,44,s1288
