source_id,image_list_count,annotations_count,images_folder_count
23,750,750,750
57,1681,1681,1681
69,100,100,100
70,300,300,300
82,1,0,1
109,3970,3970,3970
155,990,990,990
172,16,16,16
173,16,16,16
174,16,16,16
258,228,228,228
290,310,310,310
295,1064,79064,79062
299,2,2,2
307,5108,5108,5108
350,395,395,395
372,98,66098,66098
373,2485,29485,29485
376,439,439,439
428,28,0,28
450,2556,2556,2556
466,1557,1557,1557
503,234,234,234
546,78,78,78
554,1395,22395,22393
580,200,200,200
616,354,354,354
620,206,206,206
648,135,135,135
665,0,0,0
683,1840,1840,1840
697,0,0,0
747,18,18,18
793,1237,1237,1237
800,4358,4358,4358
841,3880,3880,3880
842,2592,2592,2592
843,2820,2820,2820
921,105,105,105
950,0,0,0
958,55,55,55
1073,225,225,225
1076,209,209,209
1162,5,5,5
1184,10,10,10
1189,6,0,6
1212,10,6,10
1264,10,10,10
1265,10,10,10
1266,10,10,10
1268,10,10,10
1269,10,10,10
1270,10,10,10
1271,10,10,10
1272,10,10,10
1273,10,10,10
1274,10,10,10
1276,10,10,10
1277,10,10,10
1288,31381,31381,0
1294,8,0,8
1300,93,93,93
1301,97,97,97
1304,121,121,121
1308,45,45,45
1353,40,9,40
1356,3,0,3
1357,189,189,189
1358,160,160,160
1360,49,49,49
1368,192,192,192
1388,15926,15926,4062
1432,60,60,60
1440,88,88,88
1514,0,0,0
1519,72,72,72
1532,0,0,0
1545,1,0,1
1546,206,206,206
1554,14,14,14
1556,0,0,0
1577,48,0,48
1578,855,855,855
1579,32176,32176,0
1580,1421,16421,16421
1588,32,32,32
1598,0,0,0
1622,145,145,145
1634,0,0,0
1642,160,160,160
1645,3000,3000,3000
1653,31,1,31
1655,160,160,160
1669,30,0,30
1686,22,22,22
1695,40,40,40
1718,72,72,72
1724,570,570,570
1725,1215,1215,1215
1745,387,387,387
1749,582,582,582
1767,66,66,66
1768,3,0,3
1771,0,0,0
1773,69,17,69
1776,2309,2309,2309
1781,80,80,80
1783,1638,1638,1638
1789,120,4,120
1810,0,0,0
1821,333,20,333
1822,46,21,46
1826,211,211,211
1831,66,0,66
1832,66,66,66
1835,90,90,90
1848,51,51,51
1895,540,540,540
1900,20,20,20
1933,560,560,560
1940,640,640,640
1944,649,649,649
1968,184,184,184
1970,20,20,20
1972,1080,1080,1080
1981,20,20,20
1982,60,60,60
1983,180,180,180
1986,92,2,92
1987,0,0,0
1988,180,180,180
1989,27,27,27
1990,1233,1233,1233
1991,0,0,0
1998,0,0,0
2001,31,0,31
2030,47,47,47
2043,4,4,4
2044,4,4,4
2048,724,724,724
2050,13,0,13
2052,180,180,180
2055,300,300,300
2064,184,184,184
2070,144,144,144
2074,27,27,27
2083,850,850,850
2084,12,12,12
2088,114,114,114
2091,400,400,400
2112,89,6089,6089
2120,640,640,640
2121,14,14,14
2122,6,6,6
2123,6,6,6
2124,200,0,200
2125,0,0,0
2127,0,0,0
2130,90,90,90
2131,60,60,60
2152,19,19,19
2153,19,19,19
2159,58,58,58
2162,123,123,123
2170,23,23,23
2172,23,23,23
2180,200,200,200
2190,200,200,200
2194,200,200,200
2200,107,107,107
2208,75,75,75
2211,200,200,200
2221,101,101,101
2222,0,0,0
2236,22,22,22
2238,20,2,20
2239,1034,1034,1034
2246,0,0,0
2258,150,150,150
2262,30,15,30
2263,3,2,3
2268,362,362,362
2274,234,234,234
2278,2,1,2
2282,1296,1296,1296
2286,2664,2664,2664
2294,198,198,198
2297,4272,4272,4271
2307,1,0,1
2311,147,147,147
2315,402,402,402
2324,50,50,50
2336,0,0,0
2337,100,100,100
2371,501,1,501
2374,34,34,34
2379,69,69,69
2414,219,219,219
2416,0,0,0
2438,0,0,0
2453,19,0,19
2454,0,0,0
2455,0,0,0
2456,13,0,13
2457,10,0,10
2464,158,158,158
2472,0,0,0
2480,2671,2671,2671
2498,6,6,6
2511,0,0,0
2528,40,40,40
2544,819,819,819
2557,0,0,0
2562,323,323,323
2565,270,270,270
2614,0,0,0
2615,943,4943,4943
2616,1904,4904,4904
2655,138,138,138
2667,34,34,34
2671,1,0,1
2672,89,89,89
2673,0,0,0
2674,30,0,30
2678,0,0,0
2682,675,675,675
2687,3,0,3
2694,33,1,33
2701,37,0,37
2707,50,50,50
2715,1108,1108,1108
2716,1087,1087,1087
2720,47,47,47
2722,189,189,189
2728,0,0,0
2729,0,0,0
2731,20,0,20
2733,50,50,50
2744,2199,2199,2199
2747,50,50,50
2751,12,12,12
2757,60,60,60
2759,602,602,602
2762,59,59,59
2764,0,0,0
2765,1119,1119,1119
2770,1929,1929,1929
2779,49,49,49
2780,182,182,182
