source_id,image_count,annotations_count,num_labels,num_labels_MERMAID
23,750,15000,20,16
57,1681,168100,27,20
69,100,4000,5,5
70,300,12000,16,16
82,0,0,0,0
109,3970,198500,78,51
155,990,39600,46,27
172,16,320,8,8
173,16,320,8,8
174,16,320,8,8
258,228,5700,20,9
290,310,2790,50,36
295,79064,790640,94,70
299,2,40,8,7
307,5108,81728,84,29
350,395,19640,15,12
372,66098,660980,64,41
373,29485,294850,92,68
376,439,10975,12,9
428,0,0,0,0
450,2556,127796,12,7
466,1557,112104,47,12
503,234,23400,9,9
546,78,15600,25,23
554,22395,335925,42,30
580,200,8000,13,9
616,354,17700,35,17
620,206,10300,31,17
648,135,3375,28,17
665,0,0,0,0
683,1840,202400,20,16
697,0,0,0,0
747,18,360,31,25
793,1237,61850,28,12
800,4358,435800,36,14
841,3880,58200,75,59
842,2592,93739,3,3
843,2820,56400,64,54
921,105,3150,27,24
950,0,0,0,0
958,55,1650,20,1
1073,225,45000,27,16
1076,209,41800,28,20
1162,5,25,4,4
1184,10,50,7,7
1189,0,0,0,0
1212,6,30,8,5
1264,10,400,9,6
1265,10,400,11,7
1266,10,400,9,5
1268,10,400,11,7
1269,10,400,10,7
1270,10,400,11,6
1271,10,400,10,7
1272,10,400,9,5
1273,10,400,8,5
1274,10,400,12,8
1276,10,400,10,6
1277,10,400,10,7
1288,31381,313810,92,67
1294,0,0,0,0
1300,93,4650,22,16
1301,97,1980,14,13
1304,121,3025,12,10
1308,45,4500,5,5
1353,9,416,11,9
1356,0,0,0,0
1357,189,9450,20,15
1358,160,8000,19,12
1360,49,49000,40,25
1368,192,3072,22,18
1388,15926,181281,30,20
1432,60,2400,13,7
1440,88,1408,13,9
1514,0,0,0,0
1519,72,1152,17,7
1532,0,0,0,0
1545,0,0,0,0
1546,206,5150,11,10
1554,14,1400,4,3
1556,0,0,0,0
1577,0,0,0,0
1578,855,42750,21,11
1579,32176,321760,66,44
1580,16421,821050,28,17
1588,32,12800,12,10
1598,0,0,0,0
1622,145,3625,25,15
1634,0,0,0,0
1642,160,4000,18,17
1645,3000,60000,72,58
1653,1,2,1,1
1655,160,16000,26,21
1669,0,0,0,0
1686,22,1100,13,11
1695,40,1000,11,9
1718,72,5400,44,20
1724,570,14250,12,12
1725,1215,24300,4,1
1745,387,9675,19,15
1749,582,17460,15,13
1767,66,6540,18,16
1768,0,0,0,0
1771,0,0,0,0
1773,17,1618,8,6
1776,2309,69270,33,22
1781,80,2000,11,11
1783,1638,49140,40,29
1789,4,582,10,6
1810,0,0,0,0
1821,20,375,4,2
1822,21,208,1,1
1826,211,21100,33,9
