idx,source_id,labelset,metadata,annotations,image_list
0,23,True,True,True,True
1,57,True,True,True,True
2,69,True,False,True,True
3,70,True,True,True,True
4,82,True,False,True,True
5,109,True,True,True,True
6,155,True,True,True,True
7,172,True,True,True,True
8,173,True,True,True,True
9,174,True,True,True,True
10,258,True,True,True,True
11,290,True,True,True,True
12,295,True,True,True,True
13,299,True,False,True,True
14,307,True,True,True,True
15,350,True,True,True,True
16,372,True,True,True,True
17,373,True,True,True,True
18,376,True,True,True,True
19,428,True,False,True,True
20,450,True,True,True,True
21,466,True,True,True,True
22,503,True,True,True,True
23,546,True,True,True,True
24,554,True,True,True,True
25,580,True,True,True,True
26,616,True,True,True,True
27,620,True,True,True,True
28,648,True,True,True,True
29,665,False,False,False,False
30,683,True,True,True,True
31,697,False,False,False,False
32,747,True,False,True,True
33,793,True,True,True,True
34,800,True,True,True,True
35,841,True,True,True,True
36,842,True,True,True,True
37,843,True,True,True,True
38,921,True,True,True,True
39,950,False,False,False,False
40,958,True,True,True,True
41,1073,True,True,True,True
42,1076,True,True,True,True
43,1162,True,False,True,True
44,1184,True,True,True,True
45,1189,True,False,True,True
46,1212,True,False,True,True
47,1264,True,False,True,True
48,1265,True,False,True,True
49,1266,True,False,True,True
50,1268,True,False,True,True
51,1269,True,False,True,True
52,1270,True,False,True,True
53,1271,True,False,True,True
54,1272,True,False,True,True
55,1273,True,False,True,True
56,1274,True,False,True,True
57,1276,True,False,True,True
58,1277,True,False,True,True
59,1288,True,True,True,True
60,1294,True,False,True,True
61,1300,True,True,True,True
62,1301,True,True,True,True
63,1304,True,True,True,True
64,1308,True,True,True,True
65,1353,True,False,True,True
66,1356,True,False,True,True
67,1357,True,True,True,True
68,1358,True,True,True,True
69,1360,True,True,True,True
70,1368,True,True,True,True
71,1388,True,True,True,True
72,1432,True,True,True,True
73,1440,True,True,True,True
74,1514,True,False,False,False
75,1519,True,True,True,True
76,1532,False,False,False,False
77,1545,True,False,True,True
78,1546,True,True,True,True
79,1554,True,False,True,True
80,1556,False,False,False,False
81,1577,True,False,True,True
82,1578,True,True,True,True
83,1579,True,True,True,True
84,1580,True,True,True,True
85,1588,True,True,True,True
86,1598,False,False,False,False
87,1622,True,True,True,True
88,1634,False,False,False,False
89,1642,True,True,True,True
90,1645,True,True,True,True
91,1653,True,False,True,True
92,1655,True,True,True,True
93,1669,True,False,True,True
94,1686,True,True,True,True
95,1695,True,True,True,True
96,1718,True,True,True,True
97,1724,True,True,True,True
98,1725,True,True,True,True
99,1745,True,True,True,True
100,1749,True,True,True,True
101,1767,True,True,True,True
102,1768,True,False,True,True
103,1771,False,False,False,False
104,1773,True,False,True,True
105,1776,True,True,True,True
106,1781,True,True,True,True
107,1783,True,True,True,True
108,1789,True,False,True,True
109,1810,False,False,False,False
110,1821,True,False,True,True
111,1822,True,False,True,True
112,1826,True,True,True,True
113,1831,True,False,True,True
114,1832,True,True,True,True
115,1835,True,True,True,True
116,1848,True,True,True,True
117,1895,True,True,True,True
118,1900,True,True,True,True
119,1933,True,True,True,True
120,1940,True,True,True,True
121,1944,True,True,True,True
122,1968,True,True,True,True
123,1970,True,True,True,True
124,1972,True,True,True,True
125,1981,True,True,True,True
126,1982,True,True,True,True
127,1983,True,True,True,True
128,1986,True,False,True,True
129,1987,False,False,False,False
130,1988,True,True,True,True
131,1989,True,True,True,True
132,1990,True,True,True,True
133,1991,False,False,False,False
134,1998,False,False,False,False
135,2001,True,False,True,True
136,2030,True,True,True,True
137,2043,True,False,True,True
138,2044,True,False,True,True
139,2048,True,True,True,True
140,2050,True,False,True,True
141,2052,True,True,True,True
142,2055,True,True,True,True
143,2064,True,True,True,True
144,2070,True,True,True,True
145,2074,True,True,True,True
146,2083,True,True,True,True
147,2084,True,False,True,True
148,2088,True,True,True,True
149,2091,True,True,True,True
150,2112,True,True,True,True
151,2120,True,True,True,True
152,2121,True,False,True,True
153,2122,True,False,True,True
154,2123,True,False,True,True
155,2124,True,False,True,True
156,2125,False,False,False,False
157,2127,False,False,False,False
158,2130,True,True,True,True
159,2131,True,True,True,True
160,2152,True,False,True,True
161,2153,True,False,True,True
162,2159,True,True,True,True
163,2162,True,True,True,True
164,2170,True,True,True,True
165,2172,True,True,True,True
166,2180,True,True,True,True
167,2190,True,True,True,True
168,2194,True,True,True,True
169,2200,True,True,True,True
170,2208,True,True,True,True
171,2211,True,True,True,True
172,2221,True,True,True,True
173,2222,False,False,False,False
174,2236,True,True,True,True
175,2238,True,False,True,True
176,2239,True,True,True,True
177,2246,False,False,False,False
178,2258,True,True,True,True
179,2262,True,False,True,True
180,2263,True,False,True,True
181,2268,True,True,True,True
182,2274,True,True,True,True
183,2278,True,False,True,True
184,2282,True,True,True,True
185,2286,True,True,True,True
186,2294,True,True,True,True
187,2297,True,True,True,True
188,2307,True,False,True,True
189,2311,True,True,True,True
190,2315,True,True,True,True
191,2324,True,True,True,True
192,2336,False,False,False,False
193,2337,True,True,True,True
194,2371,True,False,True,True
195,2374,True,True,True,True
196,2379,True,True,True,True
197,2414,True,True,True,True
198,2416,False,False,False,False
199,2438,False,False,False,False
200,2453,True,False,True,True
201,2454,False,False,False,False
202,2455,False,False,False,False
203,2456,True,False,True,True
204,2457,True,False,True,True
205,2464,True,True,True,True
206,2472,False,False,False,False
207,2480,True,True,True,True
208,2498,True,False,True,True
209,2511,False,False,False,False
210,2528,True,True,True,True
211,2544,True,True,True,True
212,2557,False,False,False,False
213,2562,True,True,True,True
214,2565,True,True,True,True
215,2614,False,False,False,False
216,2615,True,True,True,True
217,2616,True,True,True,True
218,2655,True,True,True,True
219,2667,True,True,True,True
220,2671,True,False,True,True
221,2672,True,True,True,True
222,2673,False,False,False,False
223,2674,True,False,True,True
224,2678,False,False,False,False
225,2682,True,True,True,True
226,2687,True,False,True,True
227,2694,True,False,True,True
228,2701,True,False,True,True
229,2707,True,True,True,True
230,2715,True,True,True,True
231,2716,True,True,True,True
232,2720,True,True,True,True
233,2722,True,True,True,True
234,2728,False,False,False,False
235,2729,False,False,False,False
236,2731,True,False,True,True
237,2733,True,True,True,True
238,2744,True,True,True,True
239,2747,True,True,True,True
240,2751,True,False,True,True
241,2757,True,True,True,True
242,2759,True,True,True,True
243,2762,True,True,True,True
244,2764,False,False,False,False
245,2765,True,True,True,True
246,2770,True,True,True,True
247,2779,True,True,True,True
248,2780,True,True,True,True
249,2781,True,True,True,True
250,2782,True,False,True,True
251,2795,True,True,True,True
252,2798,True,False,True,True
253,2799,True,True,True,True
254,2803,True,True,True,True
255,2806,False,False,False,False
256,2808,True,True,True,True
257,2817,True,False,True,True
258,2818,False,False,False,False
259,2819,True,False,True,True
260,2820,True,True,True,True
261,2821,True,True,True,True
262,2822,True,True,True,True
263,2823,True,True,True,True
264,2824,True,True,True,True
265,2825,True,True,True,True
266,2829,True,True,True,True
267,2830,True,True,True,True
268,2835,False,False,False,False
269,2836,True,False,True,True
270,2837,True,True,True,True
271,2847,True,False,True,True
272,2855,True,True,True,True
273,2856,True,False,True,True
274,2857,True,False,True,True
275,2858,True,True,True,True
276,2859,True,True,True,True
277,2860,True,True,True,True
278,2861,True,True,True,True
279,2862,True,True,True,True
280,2863,True,True,True,True
281,2864,True,True,True,True
282,2865,True,True,True,True
283,2866,True,True,True,True
284,2867,True,True,True,True
285,2868,True,True,True,True
286,2870,True,False,True,True
287,2871,False,False,False,False
288,2872,False,False,False,False
289,2873,True,True,True,True
290,2874,True,True,True,True
291,2882,True,True,True,True
292,2897,True,True,True,True
293,2898,True,False,True,True
294,2903,True,True,True,True
295,2911,True,True,True,True
296,2914,True,True,True,True
297,2922,True,True,True,True
298,2938,True,False,True,True
299,2947,True,True,True,True
300,2955,True,True,True,True
301,2959,True,True,True,True
302,2960,True,True,True,True
303,2969,True,True,True,True
304,2970,False,False,False,False
305,2971,True,True,True,True
306,2978,True,True,True,True
307,2990,False,False,False,False
308,2991,True,True,True,True
309,2995,True,True,True,True
310,3004,True,True,True,True
311,3006,False,False,False,False
312,3007,True,False,True,True
313,3008,True,True,True,True
314,3010,True,False,True,True
315,3011,True,True,True,True
316,3012,True,False,True,True
317,3013,True,False,True,True
318,3015,True,True,True,True
319,3018,True,False,True,True
320,3028,True,True,True,True
321,3032,True,False,True,True
322,3046,True,True,True,True
323,3054,True,True,True,True
324,3058,True,True,True,True
325,3060,True,True,True,True
326,3061,True,True,True,True
327,3063,True,True,True,True
328,3064,True,True,True,True
329,3068,False,False,False,False
330,3069,True,True,True,True
331,3072,True,False,True,True
332,3074,True,False,True,True
333,3075,True,True,True,True
334,3076,True,True,True,True
335,3077,True,True,True,True
336,3078,True,True,True,True
337,3079,True,True,True,True
338,3080,True,True,True,True
339,3081,True,True,True,True
340,3082,True,False,True,True
341,3083,True,True,True,True
342,3084,True,True,True,True
343,3085,True,False,True,True
344,3086,True,False,True,True
345,3087,True,False,True,True
346,3088,True,False,True,True
347,3089,True,True,True,True
348,3090,False,False,False,False
349,3091,True,True,True,True
350,3092,True,False,True,True
351,3093,True,True,True,True
352,3094,True,True,True,True
353,3095,True,True,True,True
354,3096,True,False,True,True
355,3097,True,False,True,True
356,3098,True,False,True,True
357,3099,True,False,True,True
358,3100,True,False,True,True
359,3101,False,False,False,False
360,3102,True,False,True,True
361,3103,True,False,True,True
362,3111,True,False,True,True
363,3119,True,False,True,True
364,3120,True,False,True,True
365,3121,True,False,True,True
366,3122,True,False,True,True
367,3133,True,False,True,True
368,3135,True,False,True,True
369,3137,True,True,True,True
370,3138,True,True,True,True
371,3140,False,False,False,False
372,3156,True,True,True,True
373,3171,True,False,True,True
374,3172,True,True,True,True
375,3173,True,False,True,True
376,3177,True,False,True,True
377,3178,False,False,False,False
378,3180,True,False,True,True
379,3191,True,False,True,True
380,3204,False,False,False,False
381,3205,True,True,True,True
382,3207,True,False,True,True
383,3213,True,False,True,True
384,3220,False,False,False,False
385,3237,True,False,True,True
386,3241,True,True,True,True
387,3249,True,True,True,True
388,3257,True,False,True,True
389,3263,True,True,True,True
390,3269,True,False,True,True
391,3271,True,False,True,True
392,3273,False,False,False,False
393,3276,True,False,True,True
394,3284,False,False,False,False
395,3290,True,True,True,True
396,3294,True,False,True,True
397,3295,True,True,True,True
398,3298,True,True,True,True
399,3299,True,True,True,True
400,3300,True,True,True,True
401,3305,True,True,True,True
402,3307,True,False,True,True
403,3327,True,True,True,True
404,3329,True,False,True,True
405,3342,True,True,False,False
406,3346,True,True,True,True
407,3349,True,True,True,True
408,3350,True,True,True,True
409,3351,True,False,True,True
410,3354,True,True,False,False
411,3357,True,True,True,True
412,3361,True,True,False,False
413,3362,True,True,True,True
414,3363,True,True,True,True
415,3365,True,True,True,True
416,3366,True,True,True,True
417,3368,True,True,True,True
418,3371,True,True,True,True
419,3373,True,True,True,True
420,3374,True,True,True,True
421,3375,True,True,True,True
422,3376,True,True,True,True
423,3377,True,True,True,True
424,3378,True,True,True,True
