Source,Num Annotations,Num Images,Num Unique Labels
s1073/,45000,225,27
s1076/,41800,209,28
s109/,198500,3970,78
s1162/,25,5,4
s1184/,50,10,7
s1189/,0,0,0
s1212/,30,6,8
s1264/,400,10,9
s1265/,400,10,11
s1266/,400,10,9
s1268/,400,10,11
s1269/,400,10,10
s1270/,400,10,11
s1271/,400,10,10
s1272/,400,10,9
s1273/,400,10,8
s1274/,400,10,12
s1276/,400,10,10
s1277/,400,10,10
s1288/,313810,31381,92
s1294/,0,0,0
s1300/,4650,93,22
s1301/,1980,97,14
s1304/,3025,121,12
s1308/,4500,45,5
s1353/,416,9,11
s1356/,0,0,0
s1357/,9450,189,20
s1358/,8000,160,19
s1360/,49000,49,40
s1368/,3072,192,22
s1388/,181281,15926,30
s1432/,2400,60,13
s1440/,1408,88,13
s1519/,1152,72,17
s1545/,0,0,0
s1546/,5150,206,11
s155/,39600,990,46
s1554/,1400,14,4
s1577/,0,0,0
s1578/,42750,855,21
s1579/,321760,32176,66
s1580/,821050,16421,28
s1588/,12800,32,12
s1622/,3625,145,25
s1642/,4000,160,18
s1645/,60000,3000,72
s1653/,2,1,1
s1655/,16000,160,26
s1669/,0,0,0
s1686/,1100,22,13
s1695/,1000,40,11
s1718/,5400,72,44
s172/,320,16,8
s1724/,14250,570,12
s1725/,24300,1215,4
s173/,320,16,8
s174/,320,16,8
s1745/,9675,387,19
s1749/,17460,582,15
s1767/,6540,66,18
s1768/,0,0,0
s1773/,1618,17,8
s1776/,69270,2309,33
s1781/,2000,80,11
s1783/,49140,1638,40
s1789/,582,4,10
s1821/,375,20,4
s1822/,208,21,1
s1826/,21100,211,33
s1831/,0,0,0
s1832/,1650,66,7
s1835/,9000,90,9
s1848/,11340,51,10
s1895/,54000,540,20
s1900/,7200,20,8
s1933/,56000,560,57
s1940/,16000,640,13
s1944/,16225,649,6
s1968/,41400,184,138
s1970/,500,20,7
s1972/,108000,1080,14
s1981/,500,20,9
s1982/,2200,60,5
s1983/,18000,180,9
s1986/,6,2,1
s1988/,18000,180,11
s1989/,135,27,10
s1990/,30825,1233,28
s2001/,0,0,0
s2030/,4700,47,20
s2043/,900,4,5
s2044/,900,4,5
s2048/,72400,724,18
s2050/,0,0,0
s2052/,5400,180,5
s2055/,3000,300,38
s2064/,18400,184,14
s2070/,14400,144,21
s2074/,6075,27,8
s2083/,25500,850,44
s2084/,2700,12,9
s2088/,2850,114,13
s2091/,8000,400,27
s2112/,304450,6089,80
s2120/,16000,640,12
s2121/,3150,14,8
s2122/,1350,6,8
s2123/,1350,6,5
s2124/,0,0,0
s2130/,1350,90,13
s2131/,900,60,8
s2152/,4275,19,9
s2153/,4275,19,6
s2159/,1450,58,10
s2162/,3101,123,41
s2170/,575,23,15
s2172/,575,23,10
s2180/,5000,200,16
s2190/,5000,200,17
s2194/,5000,200,17
s2200/,3770,107,24
s2208/,1875,75,29
s2211/,5000,200,16
s2221/,1010,101,23
s2236/,550,22,35
s2238/,240,2,5
s2239/,51650,1034,29
s2258/,15000,150,4
s2262/,375,15,14
s2263/,200,2,2
s2268/,36200,362,18
s2274/,23400,234,5
s2278/,10,1,2
s2282/,82944,1296,53
s2286/,66600,2664,22
s2294/,4950,198,30
s2297/,106800,4272,75
s23/,15000,750,20
s2307/,0,0,0
s2311/,14700,147,18
s2315/,40200,402,34
s2324/,990,50,9
s2337/,2500,100,11
s2371/,50,1,8
s2374/,544,34,7
s2379/,3450,69,3
s2414/,10950,219,6
s2453/,0,0,0
s2456/,0,0,0
s2457/,0,0,0
s2464/,15800,158,2
s2480/,267100,2671,20
s2498/,240,6,6
s2528/,400,40,6
s2544/,20475,819,53
s2562/,32300,323,21
s2565/,27000,270,12
s258/,5700,228,20
s2615/,98860,4943,54
s2616/,98080,4904,53
s2655/,2760,138,26
s2667/,850,34,20
s2671/,0,0,0
s2672/,9080,89,18
s2674/,0,0,0
s2682/,16875,675,32
s2687/,0,0,0
s2694/,25,1,3
s2701/,0,0,0
s2707/,500,50,18
s2715/,27700,1108,28
s2716/,27175,1087,32
s2720/,329,47,16
s2722/,4725,189,16
s2731/,0,0,0
s2733/,1000,50,9
s2744/,109950,2199,79
s2747/,1000,50,13
s2751/,240,12,5
s2757/,1500,60,25
s2759/,6100,602,44
s2762/,11800,59,41
s2765/,22380,1119,6
s2770/,38580,1929,60
s2779/,980,49,12
s2780/,4550,182,6
s2781/,1000,50,10
s2782/,240,12,9
s2795/,194475,7779,78
s2798/,40,2,5
s2799/,930,24,36
s2803/,7392,132,9
s2808/,29000,145,17
s2817/,2,1,2
s2819/,0,0,0
s2820/,1200,30,14
s2821/,800,20,15
s2822/,2400,60,13
s2823/,400,20,11
s2824/,1200,30,13
s2825/,1600,40,14
s2829/,6450,258,27
s2830/,1600,40,11
s2836/,47,5,4
s2837/,1600,40,13
s2847/,160,8,4
s2855/,5475,219,30
s2856/,500,1,9
s2857/,0,0,0
s2858/,29875,1195,8
s2859/,26775,1071,29
s2860/,26450,1058,26
s2861/,28125,1125,28
s2862/,26775,1071,22
s2863/,28000,1120,22
s2864/,26975,1079,22
s2865/,26375,1055,19
s2866/,21450,858,27
s2867/,22525,901,25
s2868/,21475,859,29
s2870/,0,0,0
s2873/,5450,218,25
s2874/,26975,1079,31
s2882/,3850,154,7
s2897/,2951200,29512,15
s2898/,0,0,0
s290/,2790,310,50
s2903/,19800,660,19
s2911/,9620,962,53
s2914/,5160,172,19
s2922/,90675,1209,29
s2938/,0,0,0
s2947/,60599,7143,3
s295/,790640,79064,94
s2955/,31700,1268,11
s2959/,288550,11542,7
