id,created on,created by,updated on,updated by,status,name,CoralNetAnnotations,top100,priority,priority_notes,parent,Life history list,Region list
20090bf4-868e-431b-974c-ab9be5bbdb5f,2018-04-04 19:03:43.852250+00:00,None,2022-08-10 12:42:00.960645+00:00,None,superuser approved,Turf algae,7443962,1,1,top level category,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific"
b76bca12-884b-4404-bb9f-97d505b0fe58,2018-04-04 19:03:43.652901+00:00,None,2019-02-04 21:52:07.497930+00:00,None,superuser approved,Sand,3728358,1,1,top level category,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
09226989-50e7-4c40-bd36-5bcef32ee7a1,2018-04-04 19:03:43.100527+00:00,None,2019-02-04 21:52:07.522976+00:00,None,superuser approved,Macroalgae,2968785,1,1,top level category,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
f4df7abd-3d51-42fb-8cab-5102b95fad8e,2018-04-04 19:03:41.511370+00:00,None,2023-11-09 01:44:12.240717+00:00,None,superuser approved,Crustose coralline algae,1842258,1,1,top level category,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
31c5af16-30d7-4966-97f4-01889a5cf973,2022-11-30 18:45:02.247255+00:00,Kim Fisher [4eb4bf65-6aee-4014-beee-04ad23484bcd],2024-02-07 15:08:12.098644+00:00,Kim Fisher [4eb4bf65-6aee-4014-beee-04ad23484bcd],superuser approved,Other,1604254,,999,uninformative,None,,"Arctic,Central Indo-Pacific,Eastern Indo-Pacific,Southern Ocean,Temperate Australasia,Temperate Northern Atlantic,Temperate Northern Pacific,Temperate South America,Temperate Southern Africa,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific"
d9086647-3a82-4634-97bc-6e10347af39b,2018-04-04 19:03:43.623738+00:00,None,2018-04-04 19:03:43.623757+00:00,None,superuser approved,Bare substrate,1197412,1,1,top level category,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
6e481be3-7c13-49a3-9928-6f17259f3047,2023-09-20 01:45:56.317888+00:00,Amkieltiela Amkieltiela [76966e8b-18d1-4e1c-802f-558ecd9781f3],2023-09-20 01:45:56.317910+00:00,None,superuser approved,Bivalvia,843515,,,,Other invertebrates,,"Arctic,Central Indo-Pacific,Eastern Indo-Pacific,Southern Ocean,Temperate Australasia,Temperate Northern Atlantic,Temperate Northern Pacific,Temperate South America,Temperate Southern Africa,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific"
2b55697f-f26e-433e-9070-f1fe9748bf7b,2018-04-04 19:03:42.904426+00:00,None,2018-04-04 19:03:42.904451+00:00,None,superuser approved,Porites,713106,1,2,included in current model; coral genera; should be separated by growth form (branching and massive),Poritidae,"stress-tolerant,weedy","Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,2018-04-04 19:03:41.521513+00:00,None,2018-04-04 19:03:41.521535+00:00,None,superuser approved,Hard coral,652631,1,1,"top level category; should be separated into growth forms (none, branching, digitate, encrusting, foliose, massive)",None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
abde283f-5dd4-4a67-bc0b-e7403ad9c517,2018-04-04 19:03:43.885985+00:00,None,2018-04-04 19:03:43.886007+00:00,None,superuser approved,Dead coral,611143,?,,is this a MERMAID category? captured in hierachical or bleaching levels? ,Bare substrate,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
050c0689-0b01-4a6c-afbf-a5d3ca39c310,2018-04-04 19:03:41.534007+00:00,None,2018-04-04 19:03:41.534027+00:00,None,superuser approved,Acropora,553870,1,2,"included in current model; coral genera; should be broken up by growth form (none, branching, plates or tables)",Acroporidae,competitive,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
ed2332ed-0762-45fb-87a3-d315e218faf1,2018-04-04 19:03:43.641263+00:00,None,2020-02-20 20:44:51.130154+00:00,None,superuser approved,Rubble,528341,1,1,top level category,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
7b351732-5ec1-43c5-b668-15ed24e33aed,2018-04-04 19:03:43.629496+00:00,None,2018-04-04 19:03:43.629513+00:00,None,superuser approved,Rock,463374,1,,roll-up to parent?,Bare substrate,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
3dc38d25-ed80-4049-af16-e85f04f97cc6,2018-04-04 19:03:43.580308+00:00,None,2018-04-04 19:03:43.580329+00:00,None,superuser approved,Other invertebrates,408235,,1,top level category; Ask Emily if we should remove this or keep it.,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
51558178-d2da-44ed-905b-db6976f6aa76,2018-04-04 19:03:43.264761+00:00,None,2025-02-11 14:15:00.863190+00:00,Iain Caldwell [6bf68af6-c8a9-4c1a-bd8e-a2d3608e470f],superuser approved,Halimeda,399011,1,,,Halimedaceae,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
5f1f7956-bc21-4bfd-a409-9740e614b2ac,2018-04-04 19:03:43.895084+00:00,None,2018-04-04 19:03:43.895106+00:00,None,superuser approved,Seagrass,389159,1,1,top level category,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
b72e02c1-eab3-4781-9eb4-d191bb84e5c7,2022-11-30 18:56:07.317385+00:00,Kim Fisher [4eb4bf65-6aee-4014-beee-04ad23484bcd],2022-11-30 18:56:07.317416+00:00,Kim Fisher [4eb4bf65-6aee-4014-beee-04ad23484bcd],superuser approved,Unknown,385272,,999,uninformative,Other,,"Arctic,Central Indo-Pacific,Eastern Indo-Pacific,Southern Ocean,Temperate Australasia,Temperate Northern Atlantic,Temperate Northern Pacific,Temperate South America,Temperate Southern Africa,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific"
4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,2018-04-04 19:03:41.595671+00:00,None,2018-04-04 19:03:41.595695+00:00,None,superuser approved,Montipora,374218,1,2,"included in current model; coral genera; should be separated by growth form (none, encrusting, foliose)",Acroporidae,"competitive,generalist,stress-tolerant","Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific"
987019bd-142e-4333-993a-a820030360a9,2018-04-04 19:03:43.112982+00:00,None,2024-03-20 18:38:05.752233+00:00,None,superuser approved,Dictyota,341111,1,,,Dictyotaceae,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
3218e7ea-8827-4262-96a1-104e5ec50ffc,2018-04-04 19:03:43.240190+00:00,None,2019-02-04 21:52:07.518785+00:00,None,superuser approved,Cyanobacteria,323703,1,1,top level category,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
6b9fdd82-685f-4f21-8fa3-883e06be2c30,2018-04-04 19:03:43.843072+00:00,None,2018-04-04 19:03:43.843092+00:00,None,superuser approved,Sponge,313465,1,,,Other invertebrates,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
da1dfe78-f982-4b09-81ae-b38d328bd85e,2018-04-04 19:03:42.819213+00:00,None,2018-04-04 19:03:42.819236+00:00,None,superuser approved,Pocillopora,226552,1,2,included in current model; coral genera,Pocilloporidae,"competitive,generalist,weedy","Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific"
fcf0ddd7-2b6b-4863-b1c8-9bb0ec8277c5,2018-04-04 19:03:44.004798+00:00,None,2018-04-04 19:03:44.004824+00:00,None,superuser approved,Halophila stipulacea,225515,,,,Halophila,,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific"
7d84ea57-8116-4eba-a39e-5f086b5370db,2020-02-17 19:15:00.917369+00:00,None,2020-02-17 19:15:00.917407+00:00,None,superuser approved,Peyssonnelid algae,222969,,,,Crustose coralline algae,,Tropical Atlantic
462970b7-3c1d-48a7-9f6f-d657b27a5bef,2023-09-20 02:11:26.750163+00:00,Amkieltiela Amkieltiela [76966e8b-18d1-4e1c-802f-558ecd9781f3],2023-11-07 02:13:05.811016+00:00,None,superuser approved,Porites lobata,202506,,,roll up to coral genera but keep growth form,Porites,"stress-tolerant,weedy","Central Indo-Pacific,Eastern Indo-Pacific,Temperate Australasia,Temperate Northern Pacific,Temperate Southern Africa,Tropical Eastern Pacific,Western Indo-Pacific"
30a987e9-b420-4db6-a83a-a1f7cabd14fb,2018-04-04 19:03:43.598088+00:00,None,2019-03-01 18:58:22.659598+00:00,None,superuser approved,Soft coral,191235,1,1,top level category,None,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
3aa2e125-3f74-4f91-94f6-fd030319f2b1,2018-04-04 19:03:43.603946+00:00,None,2018-04-04 19:03:43.603964+00:00,None,superuser approved,Gorgonian,121808,1,,,Soft coral,,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Western Indo-Pacific"
05b8e85d-89ca-48dc-8ec9-2214d9103909,2023-09-28 03:46:43.862249+00:00,Amkieltiela Amkieltiela [76966e8b-18d1-4e1c-802f-558ecd9781f3],2023-11-07 02:11:05.619436+00:00,None,superuser approved,Porites compressa,113519,,,roll up to coral genera but keep growth form,Porites,"competitive,weedy","Central Indo-Pacific,Western Indo-Pacific"
4412ffc1-93ca-42f5-bb58-01c191272fc4,2023-09-28 03:49:12.437122+00:00,Amkieltiela Amkieltiela [76966e8b-18d1-4e1c-802f-558ecd9781f3],2023-11-06 13:03:52.745609+00:00,None,superuser approved,Montipora capitata,96039,,,,Montipora,competitive,Central Indo-Pacific
58ab3128-0e13-4d2e-884b-3d5dab1e18e1,2023-12-13 04:37:55.267477+00:00,Amkieltiela Amkieltiela [76966e8b-18d1-4e1c-802f-558ecd9781f3],2023-12-13 04:37:55.267502+00:00,None,superuser approved,Madracis myriaster,88696,,,roll up to coral genera,Madracis,weedy,"Temperate Northern Atlantic,Temperate South America,Tropical Atlantic,Western Indo-Pacific"
227f5477-c648-4a08-bec4-e69eb24c0a6c,2023-12-13 03:29:26.780376+00:00,Amkieltiela Amkieltiela [76966e8b-18d1-4e1c-802f-558ecd9781f3],2023-12-13 03:29:26.780397+00:00,None,superuser approved,Peyssonnelia,83609,,,,Peyssonneliaceae,,"Central Indo-Pacific,Eastern Indo-Pacific,Temperate Australasia,Temperate Northern Atlantic,Temperate Northern Pacific,Temperate Southern Africa,Tropical Atlantic,Western Indo-Pacific"
