ba_gf,num_annotations,num_images
Macroalgae,46565,7141
Bare substrate,30897,4350
Sand,28646,4786
Rubble,27018,5195
Turf algae,23067,4225
Crustose coralline algae,19265,4594
Soft coral,11084,2592
Hard coral,9055,2657
Dead coral,7064,1411
Sargassum,5318,796
Porites,5311,1125
Acropora__Branching,5083,701
Porites__Massive,4303,1510
Acropora,4251,812
Xenia,2461,244
Galaxea__Columnar,2187,220
Porites__Branching,2024,381
Cyanobacteria,1856,839
Sponge,1702,689
Pocillopora,1688,666
Millepora,1642,677
Tape,1551,745
Rock,1523,243
Acropora__Plates or tables,1141,200
Other,1067,338
Hard coral__Branching,1002,223
Montipora,1001,454
Hard coral__Massive,964,329
Goniopora,803,199
Echinopora,772,177
Platygyra,665,240
Porites lobata,605,184
Acropora__Digitate,578,224
Hard coral__Encrusting,571,230
Galaxea__Submassive,435,68
Goniastrea,412,239
Montipora__Encrusting,399,176
Diploastrea__Massive,385,47
Hard coral__Plates or tables,379,61
Sarcophyton,348,157
Pavona,347,146
Fimbriaphyllia,335,35
Heliopora,331,125
Porites__Submassive,324,99
Seagrass,324,174
Hard coral__Foliose,321,89
Favites,303,171
Hard coral__Submassive,290,86
Turbinaria-algae,278,121
Dead Coral with Algae,271,77
Acropora__Corymbose,262,106
Turbinaria-coral,262,62
Dictyota,258,93
Galaxea,258,118
Bleached coral,246,62
Porites lutea,234,82
Microdictyon,226,50
Other invertebrates,223,188
Pocillopora__Corymbose,216,120
Lobophyllia__Massive,216,46
Lobophora,215,67
Dipsastraea,213,130
Millepora__Branching,205,30
Silt,201,29
Caulerpa racemosa,195,32
Acropora cervicornis,189,34
Ascidian,186,112
Echinopora__Encrusting,184,54
Rhodophyta,179,52
Sinularia,176,70
Halimeda,168,88
Platygyra__Massive,166,68
Zoanthid,165,91
Fungia,164,114
Echinopora__Foliose,162,44
Porites__Encrusting,155,77
Favites__Massive,151,72
Padina,147,39
Coralline algae,142,50
Lobophyllia,141,60
Stylophora,131,64
