CoralNet ID,Count,CoralNet Name,Mermaid Name
82,5513048,Turf algae,Turf algae
84,3106263,Sand,Sand
1348,1741948,CRED-Turf growing on hard substrate,Turf algae
101,1438954,CCA (crustose coralline algae),Crustose coralline algae
6911,1247926,Not coral,
355,832491,Molluscs: Bivalves,Bivalvia
4114,826929,Substrate: Consolidated (hard),Bare substrate
2513,754476,Pavement,Other
81,683063,Macroalgae,Macroalgae
325,464850,Macroalgae: Articulated calcareous,Macroalgae
74,434232,Porites,Porites
309,424882,Macroalgae: Filamentous / filiform,Macroalgae
59,418545,Acropora,Acropora
94,388997,Seagrass,Seagrass
294,383214,Macroalgae: Sheet-like / membraneous,Macroalgae
105,374856,Dead coral,Dead coral
1457,369025,Rubble,Rubble
515,352955,Rock,Rock
403,351922,Halimeda,Halimeda
1340,347920,CRED-CCA growing on hard substrate,Crustose coralline algae
503,336921,Dictyota,Dictyota
321,328571,Macroalgae: Encrusting,Macroalgae
357,324189,Crustacea: Barnacles,Other invertebrates
2543,318919,Cyanobacteria,Cyanobacteria
184,271433,Coral,Hard coral
4573,260446,Sand / Rubble,Sand
2784,260039,Turfy Biotic Matrix,
2546,241173,Other,Other
2108,225515,Halophila stipulacea,Halophila stipulacea
532,222969,Peyssonnelia,Peyssonnelid algae
70,215753,Montipora,Montipora
1402,202192,Sand (soft),Sand
73,187832,Pocillopora,Pocillopora
91,186538,Hard coral,Hard coral
1871,178294,ARMS-CREP-CCA,
7462,171024,Blank_tile,
96,169081,Bare Substrate,Bare substrate
1337,161038,CRED-Encrusting macroalgae,Macroalgae
1432,153800,EAM: Dead Hard Coral,Dead coral
1647,148154,Unknown,Unknown
89,146167,Porites lobata,Porites lobata
1306,141750,CRED-Porites spp_massive,Porites
1347,136106,CRED-Sand,Sand
102,133730,Sponge,Sponge
222,130439,Shadow,Other
626,125453,PLATE,
3438,123431,Hard Substrate,Bare substrate
80,118583,Soft Coral,Soft coral
444,113395,Porites compressa,Porites compressa
5770,112701,Mesh,
1146,110363,Bare Rock,Rock
1802,109330,Gorgoniidae,Gorgonian
147,103195,Encrusting sponge,Sponge
461,99765,Water,Other
438,96030,Montipora capitata,Montipora capitata
1783,88696,Madracis mirabilis,Madracis myriaster
1354,88179,CRED-Unclassified/Unknown,Unknown
1294,87855,CRED-Montipora spp_encrusting,Montipora
1639,86682,sediment (fine),
1336,83609,CRED-Peyssonnelia spp,Peyssonnelia
92,83321,Algae,Macroalgae
463,82692,Turf and sand,Turf algae
124,82549,Broken coral rubble,Rubble
138,76551,Lobophora,Lobophora
2787,75018,ARMS-Biofilm,
3011,72413,Leather Coral,Soft coral
7454,69869,Green_algal_stain,
118,69771,Unclear,Unknown
6775,68015,Non Coral (LOF),
635,66712,Dead coral with algae,Dead coral
1353,63444,CRED-Shadow,Other
428,62027,Padina,Padina
2446,60840,Bare/Turf,
88,60678,Porites rus,Porites rus
131,56339,Porites lobata 1,Porites lobata
1703,56030,Loose Substrate: Rubble,Rubble
139,55616,Algae (fleshy),Macroalgae
2619,54527,Thin Sediment over Rock,
3175,53488,Coral:Rock,
2828,50667,Dictyota dichotoma,
4196,50193,Substrate: Biologenic: Other,
117,49196,Goniastrea,Goniastrea
150,47865,Isopora,Isopora
119,47239,Bleached Hard Coral,Bleached coral
1305,46598,CRED-Porites spp_branching,Porites
110,46564,Montastraea cavernosa,Montastraea cavernosa
1175,45899,XENIIDAE,Xeniidae
504,45686,Lobophora variegata,Lobophora variegata
1349,45408,CRED-Turf growing on rubble,Turf algae
1331,45327,CRED-Halimeda spp,Halimeda
79,44880,Millepora,Millepora
621,44709,Montipora (encrusting),Montipora
132,44641,Porites cylindrica,Porites cylindrica
1887,44605,ARMS-CREP-Unavailable,Unknown
72,44400,Pavona,Pavona
95,43946,Sediment,Bare substrate
1873,43773,ARMS-CREP-Brown encrusting macroalgae,
1899,43651,ARMS-CREP-Bryozoan,Bryozoan
310,43546,Macroalgae: Filamentous / filiform : red,Macroalgae
1886,43337,ARMS-CREP-No Recruitment,Other
2462,42519,Corallina,
1882,41656,ARMS-CREP-Peyssonnelia spp,
1974,41294,Porites (massive),Porites
3806,41096,Live Coral,Hard coral
584,41014,Ulva,Ulva
3535,40446,Palythoa caribaeorum,Palythoa caribaeorum
7530,38945,Saccharina latissima/ Saccharina complanata/,
113,38781,Porites astreoides,Porites astreoides
1304,38720,CRED-Pocillopora spp,Pocillopora
7457,38515,Brown_algae_light,
1903,38046,ARMS-CREP-Sponge,Sponge
9722,37543,Not BCM or Turf,
9015,35879,encrusting diamond pattern organisms,
5291,34530,Encrusting Algae,
3444,33764,Corynactis carnea,
5877,33758,Acropora Branching Healthy,
317,33439,Macroalgae: Erect coarse branching,Macroalgae
636,32825,Algal Assemblage,Macroalgae
1369,32717,Orbicella faveolata,Orbicella faveolata
1269,32167,CRED-Acropora spp_branching,Acropora
4145,32106,Unidentified,Unknown
1382,31369,Plexaura spp.,Plexaura
1357,31264,Agaricia agaricites,Agaricia agaricites
6613,30677,Fleshy Calcified Algae,Macroalgae
1307,30203,CRED-Porites spp_encrusting,Porites
5347,29901,Acropora cf. pulchra,
237,29834,Hard Coral (massive),Hard coral
1592,29767,Soft sediment,
99,29620,Echinopora,Echinopora
6581,28979,Sand and Gravel - Turf Algae,
6174,28408,Turf: filamentous,
3259,28299,Neospongodes atlantica,
204,28010,Acropora (branching),Acropora
1333,27979,CRED-Microdictyon spp,Microdictyon
5841,27975,ARMS-Bryozoa encrusting,
7880,27699,Recently dead coral,
1889,27576,ARMS-CREP-Calcareous Worm Tube,Other invertebrates
2168,27555,Sponge Other,Sponge
