,Source ID,CoralNet ID,CoralNet Name,Mermaid Name,Count
0,s1073,124,Broken coral rubble,Rubble,22420
1,s1073,635,Dead coral with algae,Dead coral,8691
2,s1073,84,Sand,Sand,4073
3,s1073,1913,Turf  algae,Turf algae,3239
4,s1073,1827,TAPE,Other,1779
5,s1073,89,Porites lobata,Porites lobata,1166
6,s1073,81,Macroalgae,Macroalgae,911
7,s1073,105,Dead coral,Dead coral,827
8,s1073,438,Montipora capitata,Montipora capitata,490
9,s1073,141,Crustose coralline algae,Crustose coralline algae,404
10,s1073,444,Porites compressa,Porites compressa,360
11,s1073,2217,Porites lobata bleached,Bleached coral,187
12,s1073,439,Montipora flabellata,Montipora flabellata,140
13,s1073,2206,Porites compressa algal overgrowth,Porites compressa,72
14,s1073,2216,Porites lobata tissue loss,,59
15,s1073,2208,Porites compressa tissue loss,,57
16,s1073,448,Pocillopora damicornis,Pocillopora damicornis,39
17,s1073,450,Pocillopora meandrina,Pocillopora meandrina,33
18,s1073,2214,Porites lobata algal overgrowth,,22
19,s1073,2185,Montipora capitata bleached,Bleached coral,10
20,s1073,342,Echinoderms: sea urchin,Sea urchin,10
21,s1073,2184,Montipora capitata tissue loss,,5
22,s1073,460,Fish,Other,2
23,s1073,353,Molluscs: Gastropods,Other invertebrates,1
24,s1073,638,Trash,Other,1
25,s1073,2182,Montipora capitata algal overgrowth,Montipora capitata,1
26,s1073,2465,"Porites lobata, recently dead",,1
0,s1076,124,Broken coral rubble,Rubble,34373
1,s1076,89,Porites lobata,Porites lobata,2023
2,s1076,81,Macroalgae,Macroalgae,1387
3,s1076,84,Sand,Sand,763
4,s1076,444,Porites compressa,Porites compressa,477
5,s1076,105,Dead coral,Dead coral,466
6,s1076,438,Montipora capitata,Montipora capitata,406
7,s1076,434,Gracilaria salicornia,Gracilaria salicornia,330
8,s1076,1827,TAPE,Other,326
9,s1076,1913,Turf  algae,Turf algae,281
10,s1076,2184,Montipora capitata tissue loss,,253
