,CoralNet ID,Count,CoralNet Name,Mermaid Name
4,6911,1247926,Not coral,
26,2784,260039,Turfy Biotic Matrix,
34,1871,178294,ARMS-CREP-CCA,
35,7462,171024,Blank_tile,
45,626,125453,PLATE,
49,5770,112701,Mesh,
58,1639,86682,sediment (fine),
64,2787,75018,ARMS-Biofilm,
66,7454,69869,Green_algal_stain,
68,6775,68015,Non Coral (LOF),
72,2446,60840,Bare/Turf,
77,2619,54527,Thin Sediment over Rock,
78,3175,53488,Coral:Rock,
79,2828,50667,Dictyota dichotoma,
80,4196,50193,Substrate: Biologenic: Other,
96,1873,43773,ARMS-CREP-Brown encrusting macroalgae,
100,2462,42519,Corallina,
101,1882,41656,ARMS-CREP-Peyssonnelia spp,
106,7530,38945,Saccharina latissima/ Saccharina complanata/,
109,7457,38515,Brown_algae_light,
111,9722,37543,Not BCM or Turf,
112,9015,35879,encrusting diamond pattern organisms,
113,5291,34530,Encrusting Algae,
114,3444,33764,Corynactis carnea,
115,5877,33758,Acropora Branching Healthy,
125,5347,29901,Acropora cf. pulchra,
127,1592,29767,Soft sediment,
129,6581,28979,Sand and Gravel - Turf Algae,
130,6174,28408,Turf: filamentous,
131,3259,28299,Neospongodes atlantica,
134,5841,27975,ARMS-Bryozoa encrusting,
135,7880,27699,Recently dead coral,
139,9278,26277,Chthamalus sp.,
140,3803,25842,Healthy Tissue,
142,625,25621,Sediment Covered Limestone,
143,3082,25504,Acropora cervicornis dead,
151,1540,23176,Mytilus edulis,
152,372,22865,Substrate: Consolidated (hard) Boulders,
166,3008,20515,Porites (LOF),
176,7529,18888,Agarum/ neoagarum,
181,1001,18087,"Bryozoan, branching unidentified",
186,3534,17527,Turf algal sediment matrix,
189,9145,16971,encrusting undefined shape,
190,9017,16646,coccoid cyanobacteria,
193,6741,16189,Debris Shell,
194,1741,16133,"Crustose, turf, bare",
195,370,16028,Substrate: Consolidated (hard) Rock,
196,7049,15897,Chthamalus bisinuatus,
197,5747,15841,dead Pocillopora damicornis,
198,2454,15768,Turf overgrowing recently dead coral,
206,4571,14532,Mytilus spp. (Small),
210,4081,14217,Rhodophyta,
211,5999,14175,Pebble,
212,4491,14094,Montipora grisea,
216,296,13817,Macroalgae: Sheet-like / membraneous: red,
220,5901,13375,Porites Healthy,
223,7165,13174,Epizoanthus sp.,
226,7102,13053,Flat leaf red algae,
229,9019,12721,small filamentous cyanobacteria,
231,5832,12612,ARMS-Bound sediment,
232,7723,12601,Ecklonia radiata,
233,5340,12435,Dead staghorn Acropora,
234,6200,12296,turf,
238,6149,11855,Cover - Abundance of Algae Turf,
241,3445,11374,Aulacomya atra,
242,4757,11093,Blue Ocean,
243,6582,10927,Sand and Gravel - Cyanobacteria,
244,4286,10786,EMPTY SPACE,
246,2452,10616,Grazed or thin turf,
247,7520,10606,Montipora (brown) encrusting,
249,3714,10528,Not colonizable,
253,6909,10357,Branching Coral Rubble,
261,3328,9891,Dead coral with turf algae,
262,1905,9858,ARMS-CREP-Sediment,
263,6583,9857,Turf+ Cyanobacteria,
264,7647,9849,NotCoral,
265,4762,9827,Ascidians,
268,3185,9624,Sand_Soft,
269,7318,9567,Live Coral - Porites rus,
270,1026,9407,Metridium senile,
271,1858,9304,Thalassia,
