config,epoch,batch,samples_seen,main_rss_mb,workers_rss_mb,total_rss_mb
nw0_persist0,0,0,16,1583.1,0.0,1583.1
nw0_persist0,0,50,816,1583.6,0.0,1583.6
nw0_persist0,0,100,1616,1583.7,0.0,1583.7
nw0_persist0,0,150,2416,1583.7,0.0,1583.7
nw0_persist0,0,200,3216,1583.8,0.0,1583.8
nw0_persist0,0,250,4000,1583.9,0.0,1583.9
nw0_persist0,1,0,4016,1587.6,0.0,1587.6
nw0_persist0,1,50,4816,1587.5,0.0,1587.5
nw0_persist0,1,100,5616,1587.5,0.0,1587.5
nw0_persist0,1,150,6416,1587.5,0.0,1587.5
nw0_persist0,1,200,7216,1587.5,0.0,1587.5
nw0_persist0,1,250,8000,1587.5,0.0,1587.5
nw0_persist0,2,0,8016,1587.5,0.0,1587.5
nw0_persist0,2,50,8816,1587.5,0.0,1587.5
nw0_persist0,2,100,9616,1587.5,0.0,1587.5
nw0_persist0,2,150,10416,1587.5,0.0,1587.5
nw0_persist0,2,200,11216,1587.5,0.0,1587.5
nw0_persist0,2,250,12000,1587.5,0.0,1587.5
nw0_persist0,3,0,12016,1587.5,0.0,1587.5
nw0_persist0,3,50,12816,1587.5,0.0,1587.5
nw0_persist0,3,100,13616,1587.5,0.0,1587.5
nw0_persist0,3,150,14416,1587.5,0.0,1587.5
nw0_persist0,3,200,15216,1587.5,0.0,1587.5
nw0_persist0,3,250,16000,1587.6,0.0,1587.6
nw0_persist0,4,0,16016,1587.6,0.0,1587.6
nw0_persist0,4,50,16816,1587.6,0.0,1587.6
nw0_persist0,4,100,17616,1587.7,0.0,1587.7
nw0_persist0,4,150,18416,1587.7,0.0,1587.7
nw0_persist0,4,200,19216,1587.8,0.0,1587.8
nw0_persist0,4,250,20000,1587.8,0.0,1587.8
nw0_persist0,5,0,20016,1587.8,0.0,1587.8
nw0_persist0,5,50,20816,1587.9,0.0,1587.9
nw0_persist0,5,100,21616,1588.0,0.0,1588.0
nw0_persist0,5,150,22416,1588.0,0.0,1588.0
nw0_persist0,5,200,23216,1588.0,0.0,1588.0
nw0_persist0,5,250,24000,1588.1,0.0,1588.1
nw6_persist0,0,0,16,43.0,2956.2,2999.2
nw6_persist0,0,50,816,43.4,4143.1,4186.5
nw6_persist0,0,100,1616,43.6,4359.8,4403.4
nw6_persist0,0,150,2416,43.6,4445.0,4488.6
nw6_persist0,0,200,3216,43.7,4512.1,4555.8
nw6_persist0,0,250,4000,1587.3,0.0,1587.3
nw6_persist0,1,0,4016,42.8,2479.1,2521.9
nw6_persist0,1,50,4816,42.9,3435.6,3478.5
nw6_persist0,1,100,5616,43.0,3540.0,3583.0
nw6_persist0,1,150,6416,43.0,3585.7,3628.7
nw6_persist0,1,200,7216,43.0,3915.4,3958.5
nw6_persist0,1,250,8000,1587.9,0.0,1587.9
nw6_persist0,2,0,8016,42.7,2507.0,2549.6
nw6_persist0,2,50,8816,42.9,3626.7,3669.6
nw6_persist0,2,100,9616,42.9,3853.9,3896.8
nw6_persist0,2,150,10416,42.9,3915.9,3958.9
nw6_persist0,2,200,11216,43.0,3927.3,3970.3
nw6_persist0,2,250,12000,1588.5,0.0,1588.5
nw6_persist0,3,0,12016,42.2,2524.2,2566.4
nw6_persist0,3,50,12816,42.9,3642.4,3685.3
nw6_persist0,3,100,13616,42.9,3878.0,3920.9
nw6_persist0,3,150,14416,42.9,3912.3,3955.2
nw6_persist0,3,200,15216,43.0,3932.2,3975.2
nw6_persist0,3,250,16000,1587.7,0.0,1587.7
nw6_persist0,4,0,16016,42.2,2480.8,2523.0
nw6_persist0,4,50,16816,42.8,3768.9,3811.7
nw6_persist0,4,100,17616,42.9,3930.1,3973.0
nw6_persist0,4,150,18416,42.9,3972.6,4015.5
nw6_persist0,4,200,19216,42.9,4094.4,4137.3
nw6_persist0,4,250,20000,1590.3,0.0,1590.3
nw6_persist0,5,0,20016,42.2,2464.2,2506.4
nw6_persist0,5,50,20816,42.9,3390.0,3432.9
nw6_persist0,5,100,21616,42.9,3790.9,3833.7
nw6_persist0,5,150,22416,42.9,3916.3,3959.1
nw6_persist0,5,200,23216,42.9,4038.9,4081.7
nw6_persist0,5,250,24000,1588.8,0.0,1588.8
nw6_persist1,0,0,16,42.4,2552.8,2595.2
nw6_persist1,0,50,816,42.9,3637.7,3680.6
nw6_persist1,0,100,1616,42.9,3673.3,3716.2
nw6_persist1,0,150,2416,42.9,3670.4,3713.3
nw6_persist1,0,200,3216,42.9,3713.8,3756.7
nw6_persist1,0,250,4000,101.3,3737.8,3839.1
nw6_persist1,1,0,4016,101.7,3830.5,3932.2
nw6_persist1,1,50,4816,101.7,3942.9,4044.6
nw6_persist1,1,100,5616,101.7,4015.6,4117.3
nw6_persist1,1,150,6416,101.7,4121.5,4223.2
nw6_persist1,1,200,7216,102.8,4065.9,4168.7
nw6_persist1,1,250,8000,102.8,4032.1,4134.8
nw6_persist1,2,0,8016,102.8,4101.1,4203.8
nw6_persist1,2,50,8816,103.8,4057.1,4160.9
nw6_persist1,2,100,9616,103.8,4112.7,4216.5
nw6_persist1,2,150,10416,104.9,4105.9,4210.8
nw6_persist1,2,200,11216,104.9,4136.7,4241.5
nw6_persist1,2,250,12000,104.1,4102.9,4207.0
nw6_persist1,3,0,12016,104.1,4213.2,4317.3
nw6_persist1,3,50,12816,105.1,4225.0,4330.1
nw6_persist1,3,100,13616,107.2,4148.2,4255.4
nw6_persist1,3,150,14416,107.2,4258.5,4365.7
nw6_persist1,3,200,15216,107.2,4191.6,4298.8
nw6_persist1,3,250,16000,109.3,4156.2,4265.5
nw6_persist1,4,0,16016,109.3,4262.3,4371.6
nw6_persist1,4,50,16816,109.3,4192.7,4302.0
nw6_persist1,4,100,17616,109.3,4196.1,4305.4
nw6_persist1,4,150,18416,109.3,4184.7,4294.0
nw6_persist1,4,200,19216,109.3,4210.2,4319.5
nw6_persist1,4,250,20000,109.3,4200.6,4309.9
nw6_persist1,5,0,20016,109.3,4213.4,4322.8
nw6_persist1,5,50,20816,109.4,4250.1,4359.5
nw6_persist1,5,100,21616,109.4,4297.5,4406.9
nw6_persist1,5,150,22416,109.4,4254.1,4363.4
nw6_persist1,5,200,23216,109.4,4247.3,4356.6
nw6_persist1,5,250,24000,109.4,4238.0,4347.4
