config,epoch,batch,samples_seen,main_rss_mb,workers_rss_mb,total_rss_mb
nw0_persist0,0,0,16,2166.5,0.0,2166.5
nw0_persist0,0,50,816,2166.5,0.0,2166.5
nw0_persist0,0,100,1616,2166.5,0.0,2166.5
nw0_persist0,0,150,2416,2166.5,0.0,2166.5
nw0_persist0,0,200,3216,2166.5,0.0,2166.5
nw0_persist0,0,250,4000,2166.5,0.0,2166.5
nw0_persist0,1,0,4016,2166.5,0.0,2166.5
nw0_persist0,1,50,4816,2166.5,0.0,2166.5
nw0_persist0,1,100,5616,2166.5,0.0,2166.5
nw0_persist0,1,150,6416,2166.5,0.0,2166.5
nw0_persist0,1,200,7216,2166.5,0.0,2166.5
nw0_persist0,1,250,8000,2166.5,0.0,2166.5
nw0_persist0,2,0,8016,2166.5,0.0,2166.5
nw0_persist0,2,50,8816,2166.5,0.0,2166.5
nw0_persist0,2,100,9616,2166.5,0.0,2166.5
nw0_persist0,2,150,10416,2166.5,0.0,2166.5
nw0_persist0,2,200,11216,2166.5,0.0,2166.5
nw0_persist0,2,250,12000,2166.5,0.0,2166.5
nw0_persist0,3,0,12016,2166.5,0.0,2166.5
nw0_persist0,3,50,12816,2166.5,0.0,2166.5
nw0_persist0,3,100,13616,2166.5,0.0,2166.5
nw0_persist0,3,150,14416,2166.5,0.0,2166.5
nw0_persist0,3,200,15216,2166.5,0.0,2166.5
nw0_persist0,3,250,16000,2166.5,0.0,2166.5
nw0_persist0,4,0,16016,2166.5,0.0,2166.5
nw0_persist0,4,50,16816,2166.5,0.0,2166.5
nw0_persist0,4,100,17616,2166.5,0.0,2166.5
nw0_persist0,4,150,18416,2166.5,0.0,2166.5
nw0_persist0,4,200,19216,2166.5,0.0,2166.5
nw0_persist0,4,250,20000,2166.5,0.0,2166.5
nw0_persist0,5,0,20016,2166.5,0.0,2166.5
nw0_persist0,5,50,20816,2166.5,0.0,2166.5
nw0_persist0,5,100,21616,2166.5,0.0,2166.5
nw0_persist0,5,150,22416,2166.5,0.0,2166.5
nw0_persist0,5,200,23216,2166.5,0.0,2166.5
nw0_persist0,5,250,24000,2166.5,0.0,2166.5
nw6_persist0,0,0,16,9.1,1500.9,1510.0
nw6_persist0,0,50,816,9.2,1935.0,1944.2
nw6_persist0,0,100,1616,9.3,2049.5,2058.8
nw6_persist0,0,150,2416,9.4,2099.2,2108.7
nw6_persist0,0,200,3216,9.5,2146.7,2156.2
nw6_persist0,0,250,4000,2166.3,0.0,2166.3
nw6_persist0,1,0,4016,8.3,1146.7,1154.9
nw6_persist0,1,50,4816,8.7,1548.7,1557.4
nw6_persist0,1,100,5616,8.7,1643.2,1651.9
nw6_persist0,1,150,6416,8.7,1675.5,1684.2
nw6_persist0,1,200,7216,8.8,1641.2,1650.0
nw6_persist0,1,250,8000,2167.7,0.0,2167.7
nw6_persist0,2,0,8016,8.7,1222.8,1231.6
nw6_persist0,2,50,8816,9.2,1505.7,1514.9
nw6_persist0,2,100,9616,9.2,1577.5,1586.8
nw6_persist0,2,150,10416,9.3,1587.7,1596.9
nw6_persist0,2,200,11216,9.3,1634.4,1643.6
nw6_persist0,2,250,12000,2167.8,0.0,2167.8
nw6_persist0,3,0,12016,8.8,1232.9,1241.6
nw6_persist0,3,50,12816,9.2,1530.8,1540.0
nw6_persist0,3,100,13616,9.2,1495.5,1504.8
nw6_persist0,3,150,14416,9.2,1587.2,1596.4
nw6_persist0,3,200,15216,9.2,1644.8,1654.0
nw6_persist0,3,250,16000,2128.3,0.0,2128.3
nw6_persist0,4,0,16016,8.8,1199.5,1208.2
nw6_persist0,4,50,16816,9.1,1501.6,1510.7
nw6_persist0,4,100,17616,9.1,1557.8,1567.0
nw6_persist0,4,150,18416,9.1,1578.1,1587.3
nw6_persist0,4,200,19216,9.1,1629.4,1638.5
nw6_persist0,4,250,20000,2128.2,0.0,2128.2
nw6_persist0,5,0,20016,8.3,1103.0,1111.3
nw6_persist0,5,50,20816,8.6,1528.9,1537.4
nw6_persist0,5,100,21616,8.6,1525.7,1534.4
nw6_persist0,5,150,22416,8.6,1565.7,1574.3
nw6_persist0,5,200,23216,8.7,1609.4,1618.0
nw6_persist0,5,250,24000,2128.6,0.0,2128.6
nw6_persist1,0,0,16,8.2,1290.2,1298.4
nw6_persist1,0,50,816,8.6,1732.5,1741.1
nw6_persist1,0,100,1616,8.6,1880.9,1889.5
nw6_persist1,0,150,2416,8.6,1782.6,1791.2
nw6_persist1,0,200,3216,8.6,1831.3,1839.9
nw6_persist1,0,250,4000,67.0,1872.7,1939.7
nw6_persist1,1,0,4016,67.6,1884.6,1952.2
nw6_persist1,1,50,4816,67.6,1924.7,1992.3
nw6_persist1,1,100,5616,67.6,1962.5,2030.0
nw6_persist1,1,150,6416,68.6,1997.9,2066.5
nw6_persist1,1,200,7216,68.6,2035.2,2103.9
nw6_persist1,1,250,8000,68.6,2070.2,2138.8
nw6_persist1,2,0,8016,68.6,2078.9,2147.6
nw6_persist1,2,50,8816,70.7,2113.2,2184.0
nw6_persist1,2,100,9616,70.7,2144.1,2214.9
nw6_persist1,2,150,10416,70.7,2174.7,2245.4
nw6_persist1,2,200,11216,70.7,2205.3,2276.0
nw6_persist1,2,250,12000,70.7,2235.4,2306.1
nw6_persist1,3,0,12016,70.7,2242.6,2313.3
nw6_persist1,3,50,12816,70.7,2271.5,2342.2
nw6_persist1,3,100,13616,70.7,2299.2,2369.9
nw6_persist1,3,150,14416,70.7,2325.3,2396.1
nw6_persist1,3,200,15216,70.7,2353.6,2424.3
nw6_persist1,3,250,16000,70.7,2380.5,2451.2
nw6_persist1,4,0,16016,70.7,2386.8,2457.5
nw6_persist1,4,50,16816,70.7,2411.5,2482.3
nw6_persist1,4,100,17616,70.7,2436.1,2506.8
nw6_persist1,4,150,18416,70.7,2461.4,2532.1
nw6_persist1,4,200,19216,70.7,2484.8,2555.5
nw6_persist1,4,250,20000,70.7,2507.8,2578.5
nw6_persist1,5,0,20016,70.7,2514.8,2585.5
nw6_persist1,5,50,20816,70.7,2535.8,2606.5
nw6_persist1,5,100,21616,70.7,2556.5,2627.2
nw6_persist1,5,150,22416,70.7,2577.4,2648.1
nw6_persist1,5,200,23216,70.7,2599.5,2670.2
nw6_persist1,5,250,24000,70.7,2618.8,2689.5
