config,epoch,batch,samples_seen,main_rss_mb,workers_rss_mb,total_rss_mb
nw0_persist0,0,0,16,1040.0,0.0,1040.0
nw0_persist0,0,50,816,1162.0,0.0,1162.0
nw0_persist0,0,100,1616,1162.1,0.0,1162.1
nw0_persist0,0,150,2400,1161.1,0.0,1161.1
nw0_persist0,1,0,2416,1162.1,0.0,1162.1
nw0_persist0,1,50,3216,1162.2,0.0,1162.2
nw0_persist0,1,100,4016,1162.3,0.0,1162.3
nw0_persist0,1,150,4800,1162.3,0.0,1162.3
nw0_persist0,2,0,4816,1162.9,0.0,1162.9
nw0_persist0,2,50,5616,1162.9,0.0,1162.9
nw0_persist0,2,100,6416,1162.9,0.0,1162.9
nw0_persist0,2,150,7200,1162.9,0.0,1162.9
nw0_persist0,3,0,7216,1162.9,0.0,1162.9
nw0_persist0,3,50,8016,1162.9,0.0,1162.9
nw0_persist0,3,100,8816,1162.9,0.0,1162.9
nw0_persist0,3,150,9600,1162.9,0.0,1162.9
nw0_persist0,4,0,9616,1162.9,0.0,1162.9
nw0_persist0,4,50,10416,1162.9,0.0,1162.9
nw0_persist0,4,100,11216,1162.9,0.0,1162.9
nw0_persist0,4,150,12000,1162.9,0.0,1162.9
nw4_persist0,0,0,16,334.6,578.7,913.2
nw4_persist0,0,50,816,335.6,740.0,1075.6
nw4_persist0,0,100,1616,335.7,780.9,1116.7
nw4_persist0,0,150,2400,1162.8,0.0,1162.8
nw4_persist0,1,0,2416,333.7,574.1,907.9
nw4_persist0,1,50,3216,334.6,583.5,918.1
nw4_persist0,1,100,4016,334.7,780.6,1115.4
nw4_persist0,1,150,4800,1162.9,0.0,1162.9
nw4_persist0,2,0,4816,334.1,620.0,954.1
nw4_persist0,2,50,5616,334.8,636.4,971.2
nw4_persist0,2,100,6416,334.9,743.1,1078.0
nw4_persist0,2,150,7200,1162.9,0.0,1162.9
nw4_persist0,3,0,7216,334.0,573.6,907.6
nw4_persist0,3,50,8016,335.0,595.8,930.8
nw4_persist0,3,100,8816,335.1,848.4,1183.5
nw4_persist0,3,150,9600,1163.0,0.0,1163.0
nw4_persist0,4,0,9616,333.7,573.8,907.5
nw4_persist0,4,50,10416,334.8,583.4,918.2
nw4_persist0,4,100,11216,334.9,790.9,1125.8
nw4_persist0,4,150,12000,1163.1,0.0,1163.1
nw4_persist1,0,0,16,334.0,586.4,920.4
nw4_persist1,0,50,816,335.0,596.1,931.1
nw4_persist1,0,100,1616,335.1,711.6,1046.7
nw4_persist1,0,150,2400,388.6,594.8,983.5
nw4_persist1,1,0,2416,388.7,696.1,1084.8
nw4_persist1,1,50,3216,388.9,725.2,1114.1
nw4_persist1,1,100,4016,389.2,691.8,1081.0
nw4_persist1,1,150,4800,389.4,608.8,998.2
nw4_persist1,2,0,4816,389.5,657.8,1047.3
nw4_persist1,2,50,5616,390.0,659.4,1049.4
nw4_persist1,2,100,6416,390.5,690.3,1080.8
nw4_persist1,2,150,7200,391.1,618.3,1009.3
nw4_persist1,3,0,7216,391.1,677.4,1068.5
nw4_persist1,3,50,8016,391.6,621.1,1012.8
nw4_persist1,3,100,8816,392.4,690.1,1082.5
nw4_persist1,3,150,9600,393.1,625.2,1018.3
nw4_persist1,4,0,9616,393.2,708.3,1101.6
nw4_persist1,4,50,10416,393.8,673.3,1067.2
nw4_persist1,4,100,11216,394.5,629.0,1023.5
nw4_persist1,4,150,12000,395.1,630.2,1025.4
