config,epoch,batch,samples_seen,main_rss_mb,workers_rss_mb,total_rss_mb
nw0_persist0,0,0,16,1133.3,0.0,1133.3
nw0_persist0,0,50,816,1153.1,0.0,1153.1
nw0_persist0,0,100,1616,1153.1,0.0,1153.1
nw0_persist0,0,150,2400,1153.1,0.0,1153.1
nw0_persist0,1,0,2416,1153.5,0.0,1153.5
nw0_persist0,1,50,3216,1153.5,0.0,1153.5
nw0_persist0,1,100,4016,1153.5,0.0,1153.5
nw0_persist0,1,150,4800,1153.5,0.0,1153.5
nw0_persist0,2,0,4816,1153.5,0.0,1153.5
nw0_persist0,2,50,5616,1153.5,0.0,1153.5
nw0_persist0,2,100,6416,1153.5,0.0,1153.5
nw0_persist0,2,150,7200,1153.5,0.0,1153.5
nw0_persist0,3,0,7216,1153.5,0.0,1153.5
nw0_persist0,3,50,8016,1153.5,0.0,1153.5
nw0_persist0,3,100,8816,1153.5,0.0,1153.5
nw0_persist0,3,150,9600,1153.5,0.0,1153.5
nw0_persist0,4,0,9616,1153.5,0.0,1153.5
nw0_persist0,4,50,10416,1153.5,0.0,1153.5
nw0_persist0,4,100,11216,1153.5,0.0,1153.5
nw0_persist0,4,150,12000,1153.5,0.0,1153.5
nw4_persist0,0,0,16,323.4,672.8,996.2
nw4_persist0,0,50,816,324.4,802.6,1127.0
nw4_persist0,0,100,1616,324.8,639.5,964.3
nw4_persist0,0,150,2400,1153.5,0.0,1153.5
nw4_persist0,1,0,2416,325.9,577.0,902.9
nw4_persist0,1,50,3216,326.9,765.3,1092.2
nw4_persist0,1,100,4016,327.0,582.8,909.8
nw4_persist0,1,150,4800,1153.3,0.0,1153.3
nw4_persist0,2,0,4816,325.9,579.3,905.2
nw4_persist0,2,50,5616,327.1,712.5,1039.6
nw4_persist0,2,100,6416,327.2,589.7,916.8
nw4_persist0,2,150,7200,1153.3,0.0,1153.3
nw4_persist0,3,0,7216,325.9,586.5,912.4
nw4_persist0,3,50,8016,326.8,750.9,1077.7
nw4_persist0,3,100,8816,327.1,597.9,925.0
nw4_persist0,3,150,9600,1153.3,0.0,1153.3
nw4_persist0,4,0,9616,325.8,586.4,912.1
nw4_persist0,4,50,10416,327.0,714.1,1041.1
nw4_persist0,4,100,11216,327.1,595.9,923.0
nw4_persist0,4,150,12000,1153.4,0.0,1153.4
nw4_persist1,0,0,16,326.1,620.7,946.8
nw4_persist1,0,50,816,327.1,714.8,1041.9
nw4_persist1,0,100,1616,327.2,586.6,913.8
nw4_persist1,0,150,2400,381.5,553.2,934.7
nw4_persist1,1,0,2416,381.6,588.2,969.7
nw4_persist1,1,50,3216,381.7,680.9,1062.6
nw4_persist1,1,100,4016,381.9,598.2,980.2
nw4_persist1,1,150,4800,382.1,560.0,942.1
nw4_persist1,2,0,4816,382.2,606.3,988.5
nw4_persist1,2,50,5616,382.5,792.1,1174.6
nw4_persist1,2,100,6416,382.8,601.7,984.5
nw4_persist1,2,150,7200,383.2,564.0,947.2
nw4_persist1,3,0,7216,383.3,603.8,987.1
nw4_persist1,3,50,8016,383.6,790.3,1173.9
nw4_persist1,3,100,8816,384.0,613.0,997.0
nw4_persist1,3,150,9600,384.3,566.7,951.0
nw4_persist1,4,0,9616,384.4,602.9,987.3
nw4_persist1,4,50,10416,384.7,737.5,1122.2
nw4_persist1,4,100,11216,385.1,615.2,1000.3
nw4_persist1,4,150,12000,385.3,568.4,953.7
